Date	Time	10	15	20	25	30	35	40
12/10/2021	16:00:00	21.628	21.533	21.557	21.294	21.437	19.912	16.487
12/10/2021	17:00:00	21.652	21.533	21.533	20.865	21.437	18.319	17.177
12/10/2021	18:00:00	21.652	21.533	21.533	21.318	21.437	17.605	16.701
12/10/2021	19:00:00	21.843	21.533	21.533	21.437	21.461	18.176	16.582
12/10/2021	20:00:00	21.963	21.557	21.557	19.817	21.437	18.438	16.868
12/10/2021	21:00:00	21.939	21.604	21.557	20.77	21.413	18.295	17.582
12/10/2021	22:00:00	21.939	21.628	21.581	21.27	21.437	19.27	17.677
12/10/2021	23:00:00	21.867	21.652	21.581	20.341	20.936	18.129	16.892
13/10/2021	00:00:00	21.795	21.652	21.557	20.603	21.008	19.222	17.439
13/10/2021	01:00:00	21.843	21.628	21.581	20.984	21.342	20.365	20.007
13/10/2021	02:00:00	21.843	21.652	21.604	21.342	21.366	20.984	20.793
13/10/2021	03:00:00	21.843	21.676	21.628	21.485	21.509	21.318	21.151
13/10/2021	04:00:00	21.843	21.772	21.628	21.533	21.533	21.342	20.936
13/10/2021	05:00:00	21.819	21.795	21.628	21.604	21.628	21.461	20.96
13/10/2021	06:00:00	21.819	21.795	21.652	21.581	21.604	21.246	21.103
13/10/2021	07:00:00	21.819	21.772	21.676	21.533	21.581	20.674	20.412
13/10/2021	08:00:00	21.867	21.748	21.7	21.056	21.461	20.388	20.198
13/10/2021	09:00:00	21.891	21.819	21.748	21.413	21.485	20.412	20.174
13/10/2021	10:00:00	21.915	21.915	21.795	20.913	21.223	20.055	19.793
13/10/2021	11:00:00	21.939	21.939	21.772	20.984	21.461	20.031	19.841
13/10/2021	12:00:00	21.987	21.939	21.867	21.079	21.485	20.198	20.007
13/10/2021	13:00:00	22.058	21.963	21.652	21.199	21.461	20.15	19.175
13/10/2021	14:00:00	22.034	21.891	21.7	21.413	21.533	20.817	19.96
13/10/2021	15:00:00	22.058	21.843	21.819	21.509	21.557	21.056	20.365
13/10/2021	16:00:00	22.034	21.867	21.795	21.39	21.437	21.199	20.722
13/10/2021	17:00:00	21.987	21.939	21.795	21.437	21.437	21.246	21.103
13/10/2021	18:00:00	21.939	21.867	21.819	21.461	21.485	21.366	21.199
13/10/2021	19:00:00	21.939	21.891	21.772	21.581	21.533	21.39	21.151
13/10/2021	20:00:00	21.891	21.915	21.915	21.628	21.628	21.246	21.103
13/10/2021	21:00:00	21.795	21.795	21.867	21.676	21.7	21.676	21.413
13/10/2021	22:00:00	21.795	21.795	21.843	21.843	21.843	21.772	21.199
13/10/2021	23:00:00	21.724	21.7	21.748	21.795	21.772	21.819	21.652
14/10/2021	00:00:00	21.724	21.724	21.724	21.7	21.7	21.724	21.628
14/10/2021	01:00:00	21.604	21.557	21.604	21.676	21.628	21.724	21.604
14/10/2021	02:00:00	21.581	21.557	21.604	21.652	21.628	21.7	21.581
14/10/2021	03:00:00	21.557	21.557	21.604	21.628	21.604	21.7	21.581
14/10/2021	04:00:00	21.533	21.581	21.628	21.628	21.604	21.724	21.581
14/10/2021	05:00:00	21.581	21.581	21.652	21.676	21.628	21.7	21.581
14/10/2021	06:00:00	21.557	21.557	21.652	21.676	21.652	21.748	21.604
14/10/2021	07:00:00	21.581	21.581	21.628	21.676	21.628	21.748	21.628
14/10/2021	08:00:00	21.628	21.628	21.628	21.676	21.652	21.748	21.581
14/10/2021	09:00:00	21.652	21.676	21.676	21.724	21.676	21.772	21.604
14/10/2021	10:00:00	21.7	21.676	21.724	21.724	21.7	21.772	21.628
14/10/2021	11:00:00	21.748	21.724	21.724	21.724	21.724	20.77	20.317
14/10/2021	12:00:00	21.748	21.748	21.748	21.7	21.724	20.579	20.317
14/10/2021	13:00:00	21.748	21.748	21.772	21.724	21.724	20.984	20.793
14/10/2021	14:00:00	21.772	21.724	21.772	21.581	21.7	21.032	20.889
14/10/2021	15:00:00	21.724	21.724	21.748	21.7	21.676	21.199	21.032
14/10/2021	16:00:00	21.676	21.676	21.724	21.676	21.676	21.676	21.485
14/10/2021	17:00:00	21.652	21.676	21.7	21.676	21.676	21.7	21.557
14/10/2021	18:00:00	21.628	21.628	21.676	21.676	21.652	21.7	21.557
14/10/2021	19:00:00	21.604	21.604	21.652	21.652	21.628	21.7	21.581
14/10/2021	20:00:00	21.581	21.581	21.652	21.652	21.628	21.7	21.581
14/10/2021	21:00:00	21.557	21.557	21.628	21.652	21.628	21.7	21.581
14/10/2021	22:00:00	21.533	21.533	21.604	21.652	21.628	21.676	21.008
14/10/2021	23:00:00	21.509	21.509	21.557	21.581	21.581	21.604	21.485
15/10/2021	00:00:00	21.485	21.437	21.509	21.557	21.533	21.604	21.509
15/10/2021	01:00:00	21.509	21.461	21.509	21.533	21.485	21.604	21.461
15/10/2021	02:00:00	21.461	21.437	21.485	21.557	21.509	21.604	21.485
15/10/2021	03:00:00	21.509	21.485	21.509	21.533	21.461	21.628	21.509
15/10/2021	04:00:00	21.533	21.461	21.533	21.533	21.509	21.604	21.485
15/10/2021	05:00:00	21.461	21.485	21.533	21.581	21.533	21.604	21.485
15/10/2021	06:00:00	21.461	21.485	21.557	21.581	21.557	21.581	21.461
15/10/2021	07:00:00	21.461	21.509	21.533	21.557	21.557	21.581	21.461
15/10/2021	08:00:00	21.509	21.509	21.533	21.557	21.533	21.604	21.485
15/10/2021	09:00:00	21.533	21.581	21.557	21.557	21.533	21.628	21.461
15/10/2021	10:00:00	21.604	21.604	21.581	21.581	21.557	21.461	20.436
15/10/2021	11:00:00	21.628	21.628	21.604	21.557	21.581	20.746	19.936
15/10/2021	12:00:00	21.652	21.652	21.628	21.557	21.581	21.485	21.151
15/10/2021	13:00:00	21.676	21.628	21.628	21.604	21.604	21.533	21.366
15/10/2021	14:00:00	21.676	21.628	21.652	21.604	21.604	21.604	21.485
15/10/2021	15:00:00	21.652	21.604	21.628	21.581	21.581	21.604	21.485
15/10/2021	16:00:00	21.604	21.581	21.628	21.581	21.581	21.628	21.485
15/10/2021	17:00:00	21.581	21.557	21.604	21.604	21.581	21.628	21.533
15/10/2021	18:00:00	21.557	21.533	21.581	21.604	21.581	21.628	21.509
15/10/2021	19:00:00	21.533	21.509	21.557	21.581	21.557	21.628	21.509
15/10/2021	20:00:00	21.533	21.509	21.557	21.581	21.557	21.628	21.509
15/10/2021	21:00:00	21.533	21.533	21.581	21.581	21.557	21.604	21.485
15/10/2021	22:00:00	21.533	21.533	21.581	21.581	21.557	21.604	21.485
15/10/2021	23:00:00	21.533	21.509	21.557	21.557	21.533	21.604	21.485
16/10/2021	00:00:00	21.485	21.533	21.557	21.557	21.533	21.628	21.509
16/10/2021	01:00:00	21.461	21.461	21.485	21.557	21.485	21.628	21.509
16/10/2021	02:00:00	21.461	21.461	21.509	21.533	21.485	21.628	21.485
16/10/2021	03:00:00	21.485	21.509	21.533	21.557	21.533	21.652	21.533
16/10/2021	04:00:00	21.485	21.485	21.533	21.557	21.557	21.652	21.533
16/10/2021	05:00:00	21.461	21.485	21.557	21.581	21.533	21.652	21.533
16/10/2021	06:00:00	21.437	21.485	21.533	21.581	21.533	21.628	21.533
16/10/2021	07:00:00	21.461	21.485	21.557	21.581	21.533	21.652	21.533
16/10/2021	08:00:00	21.485	21.533	21.533	21.581	21.557	21.676	21.533
16/10/2021	09:00:00	21.557	21.581	21.533	21.581	21.533	21.676	21.533
16/10/2021	10:00:00	21.581	21.604	21.557	21.604	21.557	21.652	21.509
16/10/2021	11:00:00	21.604	21.652	21.604	21.628	21.581	21.676	21.509
16/10/2021	12:00:00	21.652	21.652	21.628	21.628	21.604	21.652	21.175
16/10/2021	13:00:00	21.676	21.628	21.676	21.628	21.604	21.604	20.222
16/10/2021	14:00:00	21.676	21.628	21.676	21.509	21.604	20.96	19.722
16/10/2021	15:00:00	21.628	21.628	21.652	21.581	21.628	21.223	19.246
16/10/2021	16:00:00	21.604	21.604	21.652	21.437	21.604	19.817	19.341
16/10/2021	17:00:00	21.533	21.581	21.628	21.39	21.557	19.793	19.365
16/10/2021	18:00:00	21.509	21.557	21.604	21.485	21.557	19.865	19.532
16/10/2021	19:00:00	21.485	21.509	21.581	21.461	21.533	20.055	19.555
16/10/2021	20:00:00	21.461	21.485	21.557	21.485	21.533	19.841	19.603
16/10/2021	21:00:00	21.461	21.485	21.557	21.437	21.509	20.15	19.555
16/10/2021	22:00:00	21.437	21.485	21.557	21.39	21.437	20.15	19.746
16/10/2021	23:00:00	21.461	21.485	21.509	21.437	21.485	20.793	19.865
17/10/2021	00:00:00	21.461	21.461	21.485	21.413	21.485	20.984	20.007
17/10/2021	01:00:00	21.437	21.437	21.461	21.39	21.485	20.936	20.365
17/10/2021	02:00:00	21.413	21.437	21.461	21.461	21.461	21.151	20.77
17/10/2021	03:00:00	21.437	21.413	21.461	21.461	21.437	21.175	20.984
17/10/2021	04:00:00	21.39	21.342	21.461	21.342	21.437	21.342	21.079
17/10/2021	05:00:00	21.342	21.342	21.413	21.437	21.437	21.246	21.103
17/10/2021	06:00:00	21.342	21.318	21.39	21.366	21.39	21.27	21.151
17/10/2021	07:00:00	21.342	21.342	21.39	21.39	21.39	21.318	21.032
17/10/2021	08:00:00	21.39	21.39	21.39	21.342	21.39	21.056	20.555
17/10/2021	09:00:00	21.437	21.461	21.39	21.27	21.342	20.77	20.579
17/10/2021	10:00:00	21.485	21.485	21.437	20.984	21.27	20.388	20.198
17/10/2021	11:00:00	21.509	21.485	21.485	20.603	21.056	20.15	19.984
17/10/2021	12:00:00	21.581	21.533	21.461	20.889	20.936	20.174	19.888
17/10/2021	13:00:00	21.628	21.557	21.342	20.793	20.841	19.841	19.674
17/10/2021	14:00:00	21.604	21.557	21.342	20.436	20.913	19.579	18.247
17/10/2021	15:00:00	21.557	21.509	21.27	20.388	20.841	19.508	17.748
17/10/2021	16:00:00	21.485	21.437	21.27	19.912	20.817	18.985	17.32
17/10/2021	17:00:00	21.485	21.437	21.294	19.888	20.674	18.628	16.368
17/10/2021	18:00:00	21.461	21.437	21.318	19.865	20.817	18.39	16.487
17/10/2021	19:00:00	21.39	21.413	21.246	19.698	20.793	18.604	17.13
17/10/2021	20:00:00	21.342	21.39	21.318	20.579	20.984	18.937	17.534
17/10/2021	21:00:00	21.342	21.366	21.366	20.936	21.103	19.27	18.129
17/10/2021	22:00:00	21.294	21.342	21.39	21.008	21.175	19.46	17.938
17/10/2021	23:00:00	21.27	21.318	21.366	21.175	21.223	19.936	18.271
18/10/2021	00:00:00	21.27	21.318	21.318	21.032	21.27	19.817	18.343
18/10/2021	01:00:00	21.294	21.318	21.318	20.984	21.27	20.007	18.913
18/10/2021	02:00:00	21.27	21.318	21.318	20.817	21.246	19.46	18.866
18/10/2021	03:00:00	21.246	21.294	21.318	20.746	21.223	20.222	19.865
18/10/2021	04:00:00	21.246	21.27	21.27	21.246	21.318	20.674	19.912
18/10/2021	05:00:00	21.27	21.246	21.27	21.079	21.318	19.841	18.866
18/10/2021	06:00:00	21.27	21.294	21.342	21.223	21.318	19.793	18.771
18/10/2021	07:00:00	21.246	21.246	21.342	21.246	21.342	19.77	19.008
18/10/2021	08:00:00	21.294	21.294	21.342	20.341	21.294	19.555	19.151
18/10/2021	09:00:00	21.342	21.342	21.342	21.008	21.294	19.484	18.39
18/10/2021	10:00:00	21.39	21.366	21.342	20.603	21.223	19.294	17.605
18/10/2021	11:00:00	21.437	21.366	21.366	20.126	21.199	19.08	17.344
18/10/2021	12:00:00	21.461	21.366	21.39	19.579	20.222	17.986	16.82
18/10/2021	13:00:00	21.509	21.366	21.39	18.842	20.484	16.892	16.511
18/10/2021	14:00:00	21.509	21.366	21.366	18.2	20.555	16.63	16.415
18/10/2021	15:00:00	21.413	21.366	21.342	18.485	20.817	17.13	16.201
18/10/2021	16:00:00	21.413	21.342	21.294	20.198	20.913	17.582	15.963
18/10/2021	17:00:00	21.39	21.342	21.27	19.841	21.032	17.629	16.272
18/10/2021	18:00:00	21.39	21.318	21.27	19.318	21.103	17.296	16.153
18/10/2021	19:00:00	21.342	21.294	21.27	19.532	21.127	17.819	16.249
18/10/2021	20:00:00	21.318	21.294	21.294	20.627	21.223	18.414	16.296
18/10/2021	21:00:00	21.294	21.294	21.294	21.056	21.223	19.127	18.675
18/10/2021	22:00:00	21.27	21.294	21.318	21.175	21.246	19.294	18.699
18/10/2021	23:00:00	21.246	21.223	21.318	20.889	21.246	19.318	17.819
19/10/2021	00:00:00	21.27	21.223	21.318	20.317	21.199	18.604	17.368
19/10/2021	01:00:00	21.246	21.223	21.294	20.96	21.103	19.484	17.891
