Date	Time	5	22	35	50
15/10/2018	19:00:00			20.519	
15/10/2018	20:00:00			23.1	
15/10/2018	21:00:00			21.76	
15/10/2018	22:00:00			23.388	
15/10/2018	23:00:00			22.812	
16/10/2018	00:00:00			18.14	
16/10/2018	01:00:00			17.76	
16/10/2018	02:00:00			17.76	
16/10/2018	03:00:00			18.806	
16/10/2018	04:00:00			18.045	
16/10/2018	05:00:00			17.665	
16/10/2018	06:00:00			17.379	
16/10/2018	07:00:00			17.379	
16/10/2018	08:00:00			20.424	
16/10/2018	09:00:00			20.996	
16/10/2018	10:00:00			18.996	
16/10/2018	11:00:00			22.908	
16/10/2018	12:00:00			22.238	
16/10/2018	13:00:00			22.717	
16/10/2018	14:00:00			22.717	
16/10/2018	15:00:00			22.908	
16/10/2018	16:00:00			22.621	
16/10/2018	17:00:00			21.76	
16/10/2018	18:00:00			21.855	
16/10/2018	19:00:00			21.855	
16/10/2018	20:00:00			22.046	
16/10/2018	21:00:00			17.76	
16/10/2018	22:00:00			17.665	
16/10/2018	23:00:00			18.045	
17/10/2018	00:00:00			18.616	
17/10/2018	01:00:00			18.616	
17/10/2018	02:00:00			18.331	
17/10/2018	03:00:00			18.14	
17/10/2018	04:00:00			17.379	
17/10/2018	05:00:00			17.76	
17/10/2018	06:00:00			18.14	
17/10/2018	07:00:00			20.615	
17/10/2018	08:00:00			21.664	
17/10/2018	09:00:00			22.908	
17/10/2018	10:00:00			23.004	
17/10/2018	11:00:00			23.004	
17/10/2018	12:00:00			23.1	
17/10/2018	13:00:00			23.004	
17/10/2018	14:00:00			23.004	
17/10/2018	15:00:00			22.908	
17/10/2018	16:00:00			22.908	
17/10/2018	17:00:00			22.812	
17/10/2018	18:00:00			22.717	
17/10/2018	19:00:00			19.377	
17/10/2018	20:00:00			17.76	
17/10/2018	21:00:00			17.76	
17/10/2018	22:00:00			17.665	
17/10/2018	23:00:00			17.379	
18/10/2018	00:00:00			17.855	
18/10/2018	01:00:00			18.426	
18/10/2018	02:00:00			19.853	
18/10/2018	03:00:00			20.805	
18/10/2018	04:00:00			18.14	
18/10/2018	05:00:00			18.331	
18/10/2018	06:00:00			18.236	
18/10/2018	07:00:00			18.236	
18/10/2018	08:00:00			18.14	
