Date	Time	5
10/12/2019	13:51:56	17.37
10/12/2019	14:51:56	17.39
10/12/2019	15:51:56	17.35
10/12/2019	16:51:56	17.31
10/12/2019	17:51:56	17.31
10/12/2019	18:51:56	17.29
10/12/2019	19:51:56	17.29
10/12/2019	20:51:56	17.27
10/12/2019	21:51:56	17.29
10/12/2019	22:51:56	17.29
10/12/2019	23:51:56	17.25
11/12/2019	00:51:56	17.22
11/12/2019	01:51:56	17.21
11/12/2019	02:51:56	17.22
11/12/2019	03:51:56	17.21
11/12/2019	04:51:56	17.21
11/12/2019	05:51:56	17.19
11/12/2019	06:51:56	17.17
11/12/2019	07:51:56	17.18
11/12/2019	08:51:56	17.18
11/12/2019	09:51:56	17.18
11/12/2019	10:51:56	17.16
11/12/2019	11:51:56	17.19
11/12/2019	12:51:56	17.22
11/12/2019	13:51:56	17.25
11/12/2019	14:51:56	17.22
11/12/2019	15:51:56	17.21
11/12/2019	16:51:56	17.18
11/12/2019	17:51:56	17.19
11/12/2019	18:51:56	17.17
11/12/2019	19:51:56	17.16
11/12/2019	20:51:56	17.17
11/12/2019	21:51:56	17.16
11/12/2019	22:51:56	17.16
11/12/2019	23:51:56	17.12
12/12/2019	00:51:56	17.15
12/12/2019	01:51:56	17.15
12/12/2019	02:51:56	17.14
12/12/2019	03:51:56	17.1
12/12/2019	04:51:56	17.09
12/12/2019	05:51:56	17.07
12/12/2019	06:51:56	17.05
12/12/2019	07:51:56	17.04
12/12/2019	08:51:56	17.06
12/12/2019	09:51:56	17.06
12/12/2019	10:51:56	17.07
12/12/2019	11:51:56	17.07
12/12/2019	12:51:56	17.05
12/12/2019	13:51:56	17.07
12/12/2019	14:51:56	17.05
12/12/2019	15:51:56	17.05
12/12/2019	16:51:56	17.03
12/12/2019	17:51:56	17.03
12/12/2019	18:51:56	17.02
12/12/2019	19:51:56	16.99
12/12/2019	20:51:56	17.01
12/12/2019	21:51:56	17.01
12/12/2019	22:51:56	16.92
12/12/2019	23:51:56	16.94
13/12/2019	00:51:56	16.94
13/12/2019	01:51:56	16.9
13/12/2019	02:51:56	16.89
13/12/2019	03:51:56	16.91
13/12/2019	04:51:56	16.94
13/12/2019	05:51:56	16.92
13/12/2019	06:51:56	16.95
13/12/2019	07:51:56	16.93
13/12/2019	08:51:56	16.92
13/12/2019	09:51:56	16.93
13/12/2019	10:51:56	16.91
13/12/2019	11:51:56	16.93
13/12/2019	12:51:56	16.94
13/12/2019	13:51:56	16.94
13/12/2019	14:51:56	16.97
13/12/2019	15:51:56	16.92
13/12/2019	16:51:56	16.92
13/12/2019	17:51:56	16.94
13/12/2019	18:51:56	16.91
13/12/2019	19:51:56	16.9
13/12/2019	20:51:56	16.87
13/12/2019	21:51:56	16.82
13/12/2019	22:51:56	16.83
13/12/2019	23:51:56	16.82
14/12/2019	00:51:56	16.79
14/12/2019	01:51:56	16.81
14/12/2019	02:51:56	16.77
14/12/2019	03:51:56	16.77
14/12/2019	04:51:56	16.77
14/12/2019	05:51:56	16.76
14/12/2019	06:51:56	16.75
14/12/2019	07:51:56	16.74
14/12/2019	08:51:56	16.76
14/12/2019	09:51:56	16.75
14/12/2019	10:51:56	16.75
14/12/2019	11:51:56	16.75
14/12/2019	12:51:56	16.81
14/12/2019	13:51:56	16.85
14/12/2019	14:51:56	16.82
14/12/2019	15:51:56	16.79
14/12/2019	16:51:56	16.78
14/12/2019	17:51:56	16.8
14/12/2019	18:51:56	16.79
14/12/2019	19:51:56	16.88
14/12/2019	20:51:56	16.81
14/12/2019	21:51:56	16.9
14/12/2019	22:51:56	16.83
14/12/2019	23:51:56	16.91
15/12/2019	00:51:56	16.83
15/12/2019	01:51:56	16.83
15/12/2019	02:51:56	16.87
15/12/2019	03:51:56	16.82
15/12/2019	04:51:56	16.81
15/12/2019	05:51:56	16.82
15/12/2019	06:51:56	16.81
15/12/2019	07:51:56	16.8
15/12/2019	08:51:56	16.78
15/12/2019	09:51:56	16.78
15/12/2019	10:51:56	16.76
15/12/2019	11:51:56	16.79
15/12/2019	12:51:56	16.8
15/12/2019	13:51:56	16.8
15/12/2019	14:51:56	16.79
15/12/2019	15:51:56	16.8
15/12/2019	16:51:56	16.93
15/12/2019	17:51:56	16.86
15/12/2019	18:51:56	16.86
15/12/2019	19:51:56	16.85
15/12/2019	20:51:56	16.8
15/12/2019	21:51:56	16.74
15/12/2019	22:51:56	16.77
15/12/2019	23:51:56	16.78
16/12/2019	00:51:56	16.78
16/12/2019	01:51:56	16.78
16/12/2019	02:51:56	16.8
16/12/2019	03:51:56	16.8
16/12/2019	04:51:56	16.78
16/12/2019	05:51:56	16.76
16/12/2019	06:51:56	16.76
16/12/2019	07:51:56	16.75
16/12/2019	08:51:56	16.77
16/12/2019	09:51:56	16.81
16/12/2019	10:51:56	16.81
16/12/2019	11:51:56	16.83
16/12/2019	12:51:56	16.82
16/12/2019	13:51:56	16.81
16/12/2019	14:51:56	16.82
16/12/2019	15:51:56	16.8
16/12/2019	16:51:56	16.81
16/12/2019	17:51:56	16.81
16/12/2019	18:51:56	16.79
16/12/2019	19:51:56	16.81
16/12/2019	20:51:56	16.78
16/12/2019	21:51:56	16.77
16/12/2019	22:51:56	16.76
16/12/2019	23:51:56	16.76
17/12/2019	00:51:56	16.75
17/12/2019	01:51:56	16.77
17/12/2019	02:51:56	16.78
17/12/2019	03:51:56	16.77
17/12/2019	04:51:56	16.77
17/12/2019	05:51:56	16.67
17/12/2019	06:51:56	16.68
17/12/2019	07:51:56	16.72
17/12/2019	08:51:56	16.66
17/12/2019	09:51:56	16.67
17/12/2019	10:51:56	16.67
17/12/2019	11:51:56	16.68
17/12/2019	12:51:56	16.7
17/12/2019	13:51:56	16.71
17/12/2019	14:51:56	16.7
17/12/2019	15:51:56	16.8
17/12/2019	16:51:56	16.83
17/12/2019	17:51:56	16.83
17/12/2019	18:51:56	16.85
17/12/2019	19:51:56	16.86
17/12/2019	20:51:56	16.79
17/12/2019	21:51:56	16.82
17/12/2019	22:51:56	16.81
17/12/2019	23:51:56	16.81
18/12/2019	00:51:56	16.8
18/12/2019	01:51:56	16.79
18/12/2019	02:51:56	16.79
18/12/2019	03:51:56	16.78
18/12/2019	04:51:56	16.78
18/12/2019	05:51:56	16.77
18/12/2019	06:51:56	16.77
18/12/2019	07:51:56	16.74
18/12/2019	08:51:56	16.76
18/12/2019	09:51:56	16.77
18/12/2019	10:51:56	16.75
18/12/2019	11:51:56	16.75
18/12/2019	12:51:56	16.74
18/12/2019	13:51:56	16.76
18/12/2019	14:51:56	16.76
18/12/2019	15:51:56	16.74
18/12/2019	16:51:56	16.73
18/12/2019	17:51:56	16.73
18/12/2019	18:51:56	16.74
18/12/2019	19:51:56	16.76
18/12/2019	20:51:56	16.74
18/12/2019	21:51:56	16.75
18/12/2019	22:51:56	16.75
18/12/2019	23:51:56	16.76
19/12/2019	00:51:56	16.76
19/12/2019	01:51:56	16.75
19/12/2019	02:51:56	16.79
19/12/2019	03:51:56	16.79
19/12/2019	04:51:56	16.81
19/12/2019	05:51:56	16.81
19/12/2019	06:51:56	16.79
19/12/2019	07:51:56	16.79
19/12/2019	08:51:56	16.78
19/12/2019	09:51:56	16.8
19/12/2019	10:51:56	16.81
19/12/2019	11:51:56	16.79
19/12/2019	12:51:56	16.8
19/12/2019	13:51:56	16.78
19/12/2019	14:51:56	16.8
19/12/2019	15:51:56	16.81
19/12/2019	16:51:56	16.8
19/12/2019	17:51:56	16.78
19/12/2019	18:51:56	16.77
19/12/2019	19:51:56	16.74
19/12/2019	20:51:56	16.74
19/12/2019	21:51:56	16.72
19/12/2019	22:51:56	16.73
19/12/2019	23:51:56	16.71
20/12/2019	00:51:56	16.7
20/12/2019	01:51:56	16.73
20/12/2019	02:51:56	16.88
20/12/2019	03:51:56	16.89
20/12/2019	04:51:56	16.91
20/12/2019	05:51:56	16.91
20/12/2019	06:51:56	16.95
20/12/2019	07:51:56	16.94
20/12/2019	08:51:56	16.96
20/12/2019	09:51:56	16.94
20/12/2019	10:51:56	16.95
20/12/2019	11:51:56	16.93
20/12/2019	12:51:56	16.93
20/12/2019	13:51:56	16.92
20/12/2019	14:51:56	16.94
20/12/2019	15:51:56	16.91
20/12/2019	16:51:56	16.9
20/12/2019	17:51:56	16.89
20/12/2019	18:51:56	16.87
20/12/2019	19:51:56	16.87
20/12/2019	20:51:56	16.87
20/12/2019	21:51:56	16.85
20/12/2019	22:51:56	16.83
20/12/2019	23:51:56	16.83
21/12/2019	00:51:56	16.82
21/12/2019	01:51:56	16.82
21/12/2019	02:51:56	16.81
21/12/2019	03:51:56	16.81
21/12/2019	04:51:56	16.82
21/12/2019	05:51:56	16.83
21/12/2019	06:51:56	16.89
21/12/2019	07:51:56	16.87
21/12/2019	08:51:56	16.85
21/12/2019	09:51:56	16.86
21/12/2019	10:51:56	16.87
21/12/2019	11:51:56	16.86
21/12/2019	12:51:56	16.91
21/12/2019	13:51:56	16.89
21/12/2019	14:51:56	16.85
21/12/2019	15:51:56	16.82
21/12/2019	16:51:56	16.83
21/12/2019	17:51:56	16.81
21/12/2019	18:51:56	16.79
21/12/2019	19:51:56	16.83
21/12/2019	20:51:56	16.8
21/12/2019	21:51:56	16.8
21/12/2019	22:51:56	16.78
21/12/2019	23:51:56	16.77
22/12/2019	00:51:56	16.77
22/12/2019	01:51:56	16.75
22/12/2019	02:51:56	16.76
22/12/2019	03:51:56	16.77
22/12/2019	04:51:56	16.76
22/12/2019	05:51:56	16.76
22/12/2019	06:51:56	16.76
22/12/2019	07:51:56	16.77
22/12/2019	08:51:56	16.75
22/12/2019	09:51:56	16.73
22/12/2019	10:51:56	16.74
22/12/2019	11:51:56	16.75
22/12/2019	12:51:56	16.77
22/12/2019	13:51:56	16.76
22/12/2019	14:51:56	16.77
22/12/2019	15:51:56	16.73
22/12/2019	16:51:56	16.72
22/12/2019	17:51:56	16.7
22/12/2019	18:51:56	16.67
22/12/2019	19:51:56	16.67
22/12/2019	20:51:56	16.65
22/12/2019	21:51:56	16.62
22/12/2019	22:51:56	16.64
22/12/2019	23:51:56	16.6
23/12/2019	00:51:56	16.59
23/12/2019	01:51:56	16.58
23/12/2019	02:51:56	16.56
23/12/2019	03:51:56	16.55
23/12/2019	04:51:56	16.55
23/12/2019	05:51:56	16.5
23/12/2019	06:51:56	16.51
23/12/2019	07:51:56	16.5
23/12/2019	08:51:56	16.48
23/12/2019	09:51:56	16.5
23/12/2019	10:51:56	16.5
23/12/2019	11:51:56	16.55
23/12/2019	12:51:56	16.59
23/12/2019	13:51:56	16.55
23/12/2019	14:51:56	16.56
23/12/2019	15:51:56	16.56
23/12/2019	16:51:56	16.51
23/12/2019	17:51:56	16.52
23/12/2019	18:51:56	16.49
23/12/2019	19:51:56	16.48
23/12/2019	20:51:56	16.47
23/12/2019	21:51:56	16.5
23/12/2019	22:51:56	16.47
23/12/2019	23:51:56	16.48
24/12/2019	00:51:56	16.47
24/12/2019	01:51:56	16.47
24/12/2019	02:51:56	16.47
24/12/2019	03:51:56	16.46
24/12/2019	04:51:56	16.44
24/12/2019	05:51:56	16.42
24/12/2019	06:51:56	16.44
24/12/2019	07:51:56	16.42
24/12/2019	08:51:56	16.42
24/12/2019	09:51:56	16.41
24/12/2019	10:51:56	16.41
24/12/2019	11:51:56	16.41
24/12/2019	12:51:56	16.44
24/12/2019	13:51:56	16.46
24/12/2019	14:51:56	16.49
24/12/2019	15:51:56	16.46
24/12/2019	16:51:56	16.46
24/12/2019	17:51:56	16.46
24/12/2019	18:51:56	16.42
24/12/2019	19:51:56	16.42
24/12/2019	20:51:56	16.42
24/12/2019	21:51:56	16.4
24/12/2019	22:51:56	16.43
24/12/2019	23:51:56	16.38
25/12/2019	00:51:56	16.38
25/12/2019	01:51:56	16.38
25/12/2019	02:51:56	16.38
25/12/2019	03:51:56	16.36
25/12/2019	04:51:56	16.38
25/12/2019	05:51:56	16.36
25/12/2019	06:51:56	16.37
25/12/2019	07:51:56	16.35
25/12/2019	08:51:56	16.37
25/12/2019	09:51:56	16.37
25/12/2019	10:51:56	16.37
25/12/2019	11:51:56	16.4
25/12/2019	12:51:56	16.41
25/12/2019	13:51:56	16.42
25/12/2019	14:51:56	16.45
25/12/2019	15:51:56	16.45
25/12/2019	16:51:56	16.46
25/12/2019	17:51:56	16.46
25/12/2019	18:51:56	16.45
25/12/2019	19:51:56	16.43
25/12/2019	20:51:56	16.45
25/12/2019	21:51:56	16.43
25/12/2019	22:51:56	16.37
25/12/2019	23:51:56	16.42
26/12/2019	00:51:56	16.41
26/12/2019	01:51:56	16.46
26/12/2019	02:51:56	16.44
26/12/2019	03:51:56	16.44
26/12/2019	04:51:56	16.48
26/12/2019	05:51:56	16.47
26/12/2019	06:51:56	16.46
26/12/2019	07:51:56	16.46
26/12/2019	08:51:56	16.46
26/12/2019	09:51:56	16.46
26/12/2019	10:51:56	16.46
26/12/2019	11:51:56	16.47
26/12/2019	12:51:56	16.49
26/12/2019	13:51:56	16.51
26/12/2019	14:51:56	16.51
26/12/2019	15:51:56	16.51
26/12/2019	16:51:56	16.52
26/12/2019	17:51:56	16.51
26/12/2019	18:51:56	16.5
26/12/2019	19:51:56	16.49
26/12/2019	20:51:56	16.48
26/12/2019	21:51:56	16.46
26/12/2019	22:51:56	16.46
26/12/2019	23:51:56	16.45
27/12/2019	00:51:56	16.44
27/12/2019	01:51:56	16.46
27/12/2019	02:51:56	16.45
27/12/2019	03:51:56	16.42
27/12/2019	04:51:56	16.41
27/12/2019	05:51:56	16.41
27/12/2019	06:51:56	16.42
27/12/2019	07:51:56	16.37
27/12/2019	08:51:56	16.36
27/12/2019	09:51:56	16.43
27/12/2019	10:51:56	16.44
27/12/2019	11:51:56	16.45
27/12/2019	12:51:56	16.46
27/12/2019	13:51:56	16.5
27/12/2019	14:51:56	16.49
27/12/2019	15:51:56	16.46
27/12/2019	16:51:56	16.42
27/12/2019	17:51:56	16.42
27/12/2019	18:51:56	16.38
27/12/2019	19:51:56	16.38
27/12/2019	20:51:56	16.37
27/12/2019	21:51:56	16.36
27/12/2019	22:51:56	16.35
27/12/2019	23:51:56	16.35
28/12/2019	00:51:56	16.33
28/12/2019	01:51:56	16.33
28/12/2019	02:51:56	16.34
28/12/2019	03:51:56	16.33
28/12/2019	04:51:56	16.33
28/12/2019	05:51:56	16.31
28/12/2019	06:51:56	16.3
28/12/2019	07:51:56	16.31
28/12/2019	08:51:56	16.29
28/12/2019	09:51:56	16.3
28/12/2019	10:51:56	16.3
28/12/2019	11:51:56	16.3
28/12/2019	12:51:56	16.32
28/12/2019	13:51:56	16.34
28/12/2019	14:51:56	16.31
28/12/2019	15:51:56	16.31
28/12/2019	16:51:56	16.29
28/12/2019	17:51:56	16.25
28/12/2019	18:51:56	16.21
28/12/2019	19:51:56	16.21
28/12/2019	20:51:56	16.22
28/12/2019	21:51:56	16.18
28/12/2019	22:51:56	16.16
28/12/2019	23:51:56	16.16
29/12/2019	00:51:56	16.16
29/12/2019	01:51:56	16.14
29/12/2019	02:51:56	16.11
29/12/2019	03:51:56	16.11
29/12/2019	04:51:56	16.08
29/12/2019	05:51:56	16.05
29/12/2019	06:51:56	16.04
29/12/2019	07:51:56	16.06
29/12/2019	08:51:56	16.06
29/12/2019	09:51:56	16.05
29/12/2019	10:51:56	16.05
29/12/2019	11:51:56	16.06
29/12/2019	12:51:56	16.07
29/12/2019	13:51:56	16.16
29/12/2019	14:51:56	16.15
29/12/2019	15:51:56	16.15
29/12/2019	16:51:56	16.18
29/12/2019	17:51:56	16.16
29/12/2019	18:51:56	16.15
29/12/2019	19:51:56	16.13
29/12/2019	20:51:56	16.11
29/12/2019	21:51:56	16.09
29/12/2019	22:51:56	16.12
29/12/2019	23:51:56	16.06
30/12/2019	00:51:56	16.12
30/12/2019	01:51:56	16.14
30/12/2019	02:51:56	16.05
30/12/2019	03:51:56	16.07
30/12/2019	04:51:56	16.04
30/12/2019	05:51:56	16.07
30/12/2019	06:51:56	16.03
30/12/2019	07:51:56	16.0
30/12/2019	08:51:56	15.97
30/12/2019	09:51:56	15.96
30/12/2019	10:51:56	15.97
30/12/2019	11:51:56	16.0
30/12/2019	12:51:56	16.0
30/12/2019	13:51:56	16.05
30/12/2019	14:51:56	16.06
