"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20235950, SEN S/N: 20235950, LBL: 10m)"	"Acoplador separado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Acoplador adjunto (LGR S/N: 20235950, SEN S/N: 20235950)"	"Host conectado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Parado (LGR S/N: 20235950, SEN S/N: 20235950)"	"Final de archivo (LGR S/N: 20235950, SEN S/N: 20235950)"
329	08/10/21	01:22:17	23.064					
330	08/10/21	02:22:17	23.064					
331	08/10/21	03:22:17	23.016					
332	08/10/21	04:22:17	22.992					
333	08/10/21	05:22:17	22.968					
334	08/10/21	06:22:17	22.944					
335	08/10/21	07:22:17	22.968					
336	08/10/21	08:22:17	22.944					
337	08/10/21	09:22:17	22.824					
338	08/10/21	10:22:17	22.848					
339	08/10/21	11:22:17	23.040					
340	08/10/21	12:22:17	23.112					
341	08/10/21	13:22:17	23.040					
342	08/10/21	14:22:17	23.040					
343	08/10/21	15:22:17	22.992					
344	08/10/21	16:22:17	23.016					
345	08/10/21	17:22:17	22.920					
346	08/10/21	18:22:17	22.848					
347	08/10/21	19:22:17	22.800					
348	08/10/21	20:22:17	22.776					
349	08/10/21	21:22:17	22.800					
350	08/10/21	22:22:17	22.729					
351	08/10/21	23:22:17	22.729					
352	09/10/21	00:22:17	22.729					
353	09/10/21	01:22:17	22.681					
354	09/10/21	02:22:17	22.776					
355	09/10/21	03:22:17	22.776					
356	09/10/21	04:22:17	22.753					
357	09/10/21	05:22:17	22.729					
358	09/10/21	06:22:17	22.705					
359	09/10/21	07:22:17	22.513					
360	09/10/21	08:22:17	22.489					
361	09/10/21	09:22:17	22.585					
362	09/10/21	10:22:17	22.585					
363	09/10/21	11:22:17	22.705					
364	09/10/21	12:22:17	22.633					
365	09/10/21	13:22:17	22.633					
366	09/10/21	14:22:17	22.681					
367	09/10/21	15:22:17	22.609					
368	09/10/21	16:22:17	22.561					
369	09/10/21	17:22:17	22.513					
370	09/10/21	18:22:17	22.441					
371	09/10/21	19:22:17	22.369					
372	09/10/21	20:22:17	22.393					
373	09/10/21	21:22:17	22.345					
374	09/10/21	22:22:17	22.321					
375	09/10/21	23:22:17	22.298					
376	10/10/21	00:22:17	22.250					
377	10/10/21	01:22:17	22.250					
378	10/10/21	02:22:17	22.130					
379	10/10/21	03:22:17	22.082					
380	10/10/21	04:22:17	22.130					
381	10/10/21	05:22:17	22.106					
382	10/10/21	06:22:17	22.106					
383	10/10/21	07:22:17	22.082					
384	10/10/21	08:22:17	22.082					
385	10/10/21	09:22:17	22.058					
386	10/10/21	10:22:17	22.130					
387	10/10/21	11:22:17	22.154					
388	10/10/21	12:22:17	22.178					
389	10/10/21	13:22:17	22.154					
390	10/10/21	14:22:17	22.321					
391	10/10/21	15:22:17	22.154					
392	10/10/21	16:22:17	22.058					
393	10/10/21	17:22:17	21.915					
394	10/10/21	18:22:17	21.939					
395	10/10/21	19:22:17	20.960					
396	10/10/21	20:22:17	21.223					
397	10/10/21	21:22:17	21.604					
398	10/10/21	22:22:17	21.652					
399	10/10/21	23:22:17	21.533					
400	11/10/21	00:22:17	21.581					
401	11/10/21	01:22:17	21.700					
402	11/10/21	02:22:17	21.724					
403	11/10/21	03:22:17	21.700					
404	11/10/21	04:22:17	21.676					
405	11/10/21	05:22:17	21.652					
406	11/10/21	06:22:17	21.676					
407	11/10/21	07:22:17	21.676					
408	11/10/21	08:22:17	21.772					
409	11/10/21	09:22:17	21.700					
410	11/10/21	10:22:17	21.700					
411	11/10/21	11:22:17	21.748					
412	11/10/21	12:22:17	21.628					
413	11/10/21	13:22:17	21.724					
414	11/10/21	14:22:17	21.724					
415	11/10/21	15:22:17	21.724					
416	11/10/21	16:22:17	21.700					
417	11/10/21	17:22:17	21.652					
418	11/10/21	18:22:17	21.628					
419	11/10/21	19:22:17	21.604					
420	11/10/21	20:22:17	21.604					
421	11/10/21	21:22:17	21.604					
422	11/10/21	22:22:17	21.604					
423	11/10/21	23:22:17	21.652					
424	12/10/21	00:22:17	21.700					
425	12/10/21	01:22:17	21.724					
426	12/10/21	02:22:17	21.795					
427	12/10/21	03:22:17	21.795					
428	12/10/21	04:22:17	21.748					
429	12/10/21	05:22:17	21.748					
430	12/10/21	06:22:17	21.748					
431	12/10/21	07:22:17	21.748					
432	12/10/21	08:22:17	21.604					
433	12/10/21	09:22:17	21.366					
434	12/10/21	10:22:17	21.557					
435	12/10/21	11:22:17	21.604					
436	12/10/21	12:22:17	21.867					
437	12/10/21	13:22:17	21.843					
438	12/10/21	14:22:17	21.604					
439	12/10/21	15:22:17	21.724					
440	12/10/21	16:22:17	21.748					
441	12/10/21	17:22:17	21.700					
442	12/10/21	18:22:17	21.652					
443	12/10/21	19:22:17	21.628					
444	12/10/21	20:22:17	21.652					
445	12/10/21	21:22:17	21.700					
446	12/10/21	22:22:17	21.700					
447	12/10/21	23:22:17	21.676					
448	13/10/21	00:22:17	21.628					
449	13/10/21	01:22:17	21.628					
450	13/10/21	02:22:17	21.581					
451	13/10/21	03:22:17	21.581					
452	13/10/21	04:22:17	21.581					
453	13/10/21	05:22:17	21.557					
454	13/10/21	06:22:17	21.557					
455	13/10/21	07:22:17	21.485					
456	13/10/21	08:22:17	21.461					
457	13/10/21	09:22:17	21.581					
458	13/10/21	10:22:17	21.700					
459	13/10/21	11:22:17	21.652					
460	13/10/21	12:22:17	21.748					
461	13/10/21	13:22:17	21.748					
462	13/10/21	14:22:17	21.819					
463	13/10/21	15:22:17	21.795					
464	13/10/21	16:22:17	21.772					
465	13/10/21	17:22:17	21.748					
466	13/10/21	18:22:17	21.700					
467	13/10/21	19:22:17	21.652					
468	13/10/21	20:22:17	21.628					
469	13/10/21	21:22:17	21.557					
470	13/10/21	22:22:17	21.533					
471	13/10/21	23:22:17	21.533					
472	14/10/21	00:22:17	21.509					
473	14/10/21	01:22:17	21.485					
474	14/10/21	02:22:17	21.437					
475	14/10/21	03:22:17	21.366					
476	14/10/21	04:22:17	21.318					
477	14/10/21	05:22:17	21.270					
478	14/10/21	06:22:17	21.199					
479	14/10/21	07:22:17	21.127					
480	14/10/21	08:22:17	21.032					
481	14/10/21	09:22:17	21.008					
482	14/10/21	10:22:17	21.127					
483	14/10/21	11:22:17	21.127					
484	14/10/21	12:22:17	21.175					
485	14/10/21	13:22:17	21.246					
486	14/10/21	14:22:17	21.223					
487	14/10/21	15:22:17	21.270					
488	14/10/21	16:22:17	21.390					
489	14/10/21	17:22:17	21.390					
490	14/10/21	18:22:17	21.366					
491	14/10/21	19:22:17	21.318					
492	14/10/21	20:22:17	21.294					
493	14/10/21	21:22:17	21.199					
494	14/10/21	22:22:17	21.127					
495	14/10/21	23:22:17	21.151					
496	15/10/21	00:22:17	21.175					
497	15/10/21	01:22:17	21.175					
498	15/10/21	02:22:17	21.151					
499	15/10/21	03:22:17	21.151					
500	15/10/21	04:22:17	21.175					
501	15/10/21	05:22:17	21.127					
502	15/10/21	06:22:17	21.079					
503	15/10/21	07:22:17	21.079					
504	15/10/21	08:22:17	21.199					
505	15/10/21	09:22:17	21.127					
506	15/10/21	10:22:17	21.318					
507	15/10/21	11:22:17	21.437					
508	15/10/21	12:22:17	21.581					
509	15/10/21	13:22:17	21.628					
510	15/10/21	14:22:17	21.604					
511	15/10/21	15:22:17	21.509					
512	15/10/21	16:22:17	21.461					
513	15/10/21	17:22:17	21.533					
514	15/10/21	18:22:17	21.437					
515	15/10/21	19:22:17	21.366					
516	15/10/21	20:22:17	21.509					
517	15/10/21	21:22:17	21.509					
518	15/10/21	22:22:17	21.509					
519	15/10/21	23:22:17	21.413					
520	16/10/21	00:22:17	21.390					
521	16/10/21	01:22:17	21.413					
522	16/10/21	02:22:17	21.413					
523	16/10/21	03:22:17	21.366					
524	16/10/21	04:22:17	21.366					
525	16/10/21	05:22:17	21.318					
526	16/10/21	06:22:17	21.294					
527	16/10/21	07:22:17	21.270					
528	16/10/21	08:22:17	21.294					
529	16/10/21	09:22:17	21.294					
530	16/10/21	10:22:17	21.437					
531	16/10/21	11:22:17	21.533					
532	16/10/21	12:22:17	21.557					
533	16/10/21	13:22:17	21.485					
534	16/10/21	14:22:17	21.390					
535	16/10/21	15:22:17	21.246					
536	16/10/21	16:22:17	21.175					
537	16/10/21	17:22:17	21.032					
538	16/10/21	18:22:17	20.960					
539	16/10/21	19:22:17	20.865					
540	16/10/21	20:22:17	20.817					
541	16/10/21	21:22:17	20.507					
542	16/10/21	22:22:17	20.817					
543	16/10/21	23:22:17	20.889					
544	17/10/21	00:22:17	20.936					
545	17/10/21	01:22:17	20.913					
546	17/10/21	02:22:17	20.936					
547	17/10/21	03:22:17	20.984					
548	17/10/21	04:22:17	20.984					
549	17/10/21	05:22:17	20.984					
550	17/10/21	06:22:17	20.984					
551	17/10/21	07:22:17	21.008					
552	17/10/21	08:22:17	21.008					
553	17/10/21	09:22:17	21.008					
554	17/10/21	10:22:17	21.103					
555	17/10/21	11:22:17	21.175					
556	17/10/21	12:22:17	21.246					
557	17/10/21	13:22:17	21.246					
558	17/10/21	14:22:17	21.294					
559	17/10/21	15:22:17	21.294					
560	17/10/21	16:22:17	21.223					
561	17/10/21	17:22:17	21.151					
562	17/10/21	18:22:17	21.103					
563	17/10/21	19:22:17	21.103					
564	17/10/21	20:22:17	21.079					
565	17/10/21	21:22:17	21.032					
566	17/10/21	22:22:17	21.008					
567	17/10/21	23:22:17	21.008					
568	18/10/21	00:22:17	21.008					
569	18/10/21	01:22:17	20.984					
570	18/10/21	02:22:17	20.984					
571	18/10/21	03:22:17	20.936					
572	18/10/21	04:22:17	20.913					
573	18/10/21	05:22:17	20.913					
574	18/10/21	06:22:17	20.913					
575	18/10/21	07:22:17	20.889					
576	18/10/21	08:22:17	20.913					
577	18/10/21	09:22:17	20.913					
578	18/10/21	10:22:17	20.936					
579	18/10/21	11:22:17	21.056					
580	18/10/21	12:22:17	21.199					
581	18/10/21	13:22:17	21.151					
582	18/10/21	14:22:17	21.175					
583	18/10/21	15:22:17	21.151					
584	18/10/21	16:22:17	21.103					
585	18/10/21	17:22:17	21.056					
586	18/10/21	18:22:17	21.079					
587	18/10/21	19:22:17	21.008					
588	18/10/21	20:22:17	20.960					
589	18/10/21	21:22:17	20.936					
590	18/10/21	22:22:17	20.913					
591	18/10/21	23:22:17	20.889					
592	19/10/21	00:22:17	20.889					
593	19/10/21	01:22:17	20.865					
594	19/10/21	02:22:17	20.841					
595	19/10/21	03:22:17	20.841					
596	19/10/21	04:22:17	20.841					
597	19/10/21	05:22:17	20.817					
598	19/10/21	06:22:17	20.793					
599	19/10/21	07:22:17	20.793					
600	19/10/21	08:22:17	20.793					
601	19/10/21	09:22:17	20.770					
602	19/10/21	10:22:17	20.841					
603	19/10/21	11:22:17	20.913					
604	19/10/21	12:22:17	21.127					
605	19/10/21	13:22:17	21.103					
606	19/10/21	14:22:17	21.103					
607	19/10/21	15:22:17	21.103					
608	19/10/21	16:22:17	21.056					
609	19/10/21	17:22:17	21.008					
610	19/10/21	18:22:17	20.936					
611	19/10/21	19:22:17	20.936					
612	19/10/21	20:22:17	20.936					
613	19/10/21	21:22:17	20.889					
614	19/10/21	22:22:17	20.865					
615	19/10/21	23:22:17	20.865					
616	20/10/21	00:22:17	20.865					
617	20/10/21	01:22:17	20.817					
618	20/10/21	02:22:17	20.817					
619	20/10/21	03:22:17	20.817					
620	20/10/21	04:22:17	20.793					
621	20/10/21	05:22:17	20.770					
622	20/10/21	06:22:17	20.746					
623	20/10/21	07:22:17	20.746					
624	20/10/21	08:22:17	20.746					
625	20/10/21	09:22:17	20.746					
626	20/10/21	10:22:17	20.865					
627	20/10/21	11:22:17	20.841					
628	20/10/21	12:22:17	20.865					
629	20/10/21	13:22:17	20.984					
630	20/10/21	14:22:17	20.960					
631	20/10/21	15:22:17	20.889					
632	20/10/21	16:22:17	20.841					
633	20/10/21	17:22:17	20.865					
634	20/10/21	18:22:17	20.817					
635	20/10/21	19:22:17	20.817					
636	20/10/21	20:22:17	20.746					
637	20/10/21	21:22:17	20.770					
638	20/10/21	22:22:17	20.746					
639	20/10/21	23:22:17	20.722					
640	21/10/21	00:22:17	20.722					
641	21/10/21	01:22:17	20.674					
642	21/10/21	02:22:17	20.650					
643	21/10/21	03:22:17	20.650					
644	21/10/21	04:22:17	20.650					
645	21/10/21	05:22:17	20.674					
646	21/10/21	06:22:17	20.650					
647	21/10/21	07:22:17	20.627					
648	21/10/21	08:22:17	20.627					
649	21/10/21	09:22:17	20.698					
650	21/10/21	10:22:17	20.770					
651	21/10/21	11:22:17	20.817					
652	21/10/21	12:22:17	20.841					
653	21/10/21	13:22:17	20.936					
654	21/10/21	14:22:17	20.889					
655	21/10/21	15:22:17	20.936					
656	21/10/21	16:22:17	20.841					
657	21/10/21	17:22:17	20.770					
658	21/10/21	18:22:17	20.722					
659	21/10/21	19:22:17	20.722					
660	21/10/21	20:22:17	20.722					
661	21/10/21	21:22:17	20.722					
662	21/10/21	22:22:17	20.698					
663	21/10/21	23:22:17	20.698					
664	22/10/21	00:22:17	20.674					
665	22/10/21	01:22:17	20.698					
666	22/10/21	02:22:17	20.770					
667	22/10/21	03:22:17	20.984					
668	22/10/21	04:22:17	21.008					
669	22/10/21	05:22:17	20.984					
670	22/10/21	06:22:17	21.008					
671	22/10/21	07:22:17	21.008					
672	22/10/21	08:22:17	21.032					
673	22/10/21	09:22:17	21.056					
674	22/10/21	10:22:17	21.056					
675	22/10/21	11:22:17	21.079					
676	22/10/21	12:22:17	21.175					
677	22/10/21	13:22:17	21.103					
678	22/10/21	14:22:17	21.151					
679	22/10/21	15:22:17	21.151					
680	22/10/21	16:22:17	21.103					
681	22/10/21	17:22:17	21.056					
682	22/10/21	18:22:17	21.032					
683	22/10/21	19:22:17	21.008					
684	22/10/21	20:22:17	20.984					
685	22/10/21	21:22:17	20.984					
686	22/10/21	22:22:17	21.008					
687	22/10/21	23:22:17	21.008					
688	23/10/21	00:22:17	20.984					
689	23/10/21	01:22:17	20.984					
690	23/10/21	02:22:17	20.960					
691	23/10/21	03:22:17	20.960					
692	23/10/21	04:22:17	20.936					
693	23/10/21	05:22:17	20.913					
694	23/10/21	06:22:17	20.865					
695	23/10/21	07:22:17	20.913					
696	23/10/21	08:22:17	20.889					
697	23/10/21	09:22:17	20.889					
698	23/10/21	10:22:17	20.960					
