Date	Time	10	15	20	25	30	35	40
29/01/2020	21:00:00	18.533		18.628	18.58	18.652	18.58	18.58
29/01/2020	22:00:00	18.533		18.604	18.604	18.675	18.58	18.58
29/01/2020	23:00:00	18.533		18.604	18.58	18.58	18.557	18.557
30/01/2020	00:00:00	18.533		18.604	18.58	18.628	18.557	18.58
30/01/2020	01:00:00	18.533		18.604	18.58	18.604	18.557	18.58
30/01/2020	02:00:00	18.533		18.604	18.557	18.604	18.557	18.557
30/01/2020	03:00:00	18.509		18.58	18.557	18.58	18.557	18.58
30/01/2020	04:00:00	18.533		18.604	18.58	18.604	18.557	18.58
30/01/2020	05:00:00	18.509		18.604	18.58	18.604	18.557	18.557
30/01/2020	06:00:00	18.533		18.604	18.58	18.604	18.557	18.58
