"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20361913, SEN S/N: 20361913, LBL: Porros_10m)"	"Acoplador separado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Acoplador adjunto (LGR S/N: 20361913, SEN S/N: 20361913)"	"Host conectado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Parado (LGR S/N: 20361913, SEN S/N: 20361913)"	"Final de archivo (LGR S/N: 20361913, SEN S/N: 20361913)"
389	03/06/22	14:00:00	19.841					
390	03/06/22	15:00:00	19.865					
391	03/06/22	16:00:00	19.841					
392	03/06/22	17:00:00	19.960					
393	03/06/22	18:00:00	20.007					
394	03/06/22	19:00:00	20.674					
395	03/06/22	20:00:00	20.913					
396	03/06/22	21:00:00	20.174					
397	03/06/22	22:00:00	20.579					
398	03/06/22	23:00:00	19.865					
399	04/06/22	00:00:00	20.198					
400	04/06/22	01:00:00	20.484					
401	04/06/22	02:00:00	19.888					
402	04/06/22	03:00:00	20.031					
403	04/06/22	04:00:00	20.388					
404	04/06/22	05:00:00	20.079					
405	04/06/22	06:00:00	19.888					
406	04/06/22	07:00:00	20.126					
407	04/06/22	08:00:00	20.055					
408	04/06/22	09:00:00	20.079					
409	04/06/22	10:00:00	20.531					
410	04/06/22	11:00:00	20.031					
411	04/06/22	12:00:00	19.865					
412	04/06/22	13:00:00	20.198					
413	04/06/22	14:00:00	20.198					
414	04/06/22	15:00:00	20.412					
415	04/06/22	16:00:00	20.627					
416	04/06/22	17:00:00	20.222					
417	04/06/22	18:00:00	20.150					
418	04/06/22	19:00:00	20.269					
419	04/06/22	20:00:00	20.436					
420	04/06/22	21:00:00	20.246					
421	04/06/22	22:00:00	19.627					
422	04/06/22	23:00:00	19.103					
423	05/06/22	00:00:00	20.984					
424	05/06/22	01:00:00	20.770					
425	05/06/22	02:00:00	20.960					
426	05/06/22	03:00:00	21.127					
427	05/06/22	04:00:00	21.199					
428	05/06/22	05:00:00	21.008					
429	05/06/22	06:00:00	21.151					
430	05/06/22	07:00:00	21.103					
431	05/06/22	08:00:00	20.889					
432	05/06/22	09:00:00	20.817					
433	05/06/22	10:00:00	20.913					
434	05/06/22	11:00:00	20.936					
435	05/06/22	12:00:00	20.889					
436	05/06/22	13:00:00	20.913					
437	05/06/22	14:00:00	20.936					
438	05/06/22	15:00:00	21.175					
439	05/06/22	16:00:00	21.246					
440	05/06/22	17:00:00	21.127					
441	05/06/22	18:00:00	21.127					
442	05/06/22	19:00:00	21.151					
443	05/06/22	20:00:00	21.151					
444	05/06/22	21:00:00	21.151					
445	05/06/22	22:00:00	21.151					
446	05/06/22	23:00:00	21.151					
447	06/06/22	00:00:00	21.151					
448	06/06/22	01:00:00	21.175					
449	06/06/22	02:00:00	21.151					
450	06/06/22	03:00:00	21.151					
451	06/06/22	04:00:00	21.151					
452	06/06/22	05:00:00	21.175					
453	06/06/22	06:00:00	21.223					
454	06/06/22	07:00:00	20.960					
455	06/06/22	08:00:00	21.127					
456	06/06/22	09:00:00	21.223					
457	06/06/22	10:00:00	21.127					
458	06/06/22	11:00:00	21.127					
459	06/06/22	12:00:00	21.270					
460	06/06/22	13:00:00	21.294					
461	06/06/22	14:00:00	20.913					
462	06/06/22	15:00:00	20.913					
463	06/06/22	16:00:00	21.270					
464	06/06/22	17:00:00	21.342					
465	06/06/22	18:00:00	20.817					
466	06/06/22	19:00:00	21.032					
467	06/06/22	20:00:00	21.246					
468	06/06/22	21:00:00	21.294					
469	06/06/22	22:00:00	21.294					
470	06/06/22	23:00:00	21.318					
471	07/06/22	00:00:00	21.366					
472	07/06/22	01:00:00	20.555					
473	07/06/22	02:00:00	20.126					
474	07/06/22	03:00:00	20.126					
475	07/06/22	04:00:00	20.579					
476	07/06/22	05:00:00	21.223					
477	07/06/22	06:00:00	21.223					
478	07/06/22	07:00:00	21.652					
479	07/06/22	08:00:00	20.555					
480	07/06/22	09:00:00	20.913					
481	07/06/22	10:00:00	21.151					
482	07/06/22	11:00:00	21.366					
483	07/06/22	12:00:00	21.461					
484	07/06/22	13:00:00	21.342					
485	07/06/22	14:00:00	20.889					
486	07/06/22	15:00:00	21.056					
487	07/06/22	16:00:00	21.246					
488	07/06/22	17:00:00	21.223					
489	07/06/22	18:00:00	21.008					
490	07/06/22	19:00:00	20.603					
491	07/06/22	20:00:00	20.722					
492	07/06/22	21:00:00	21.390					
493	07/06/22	22:00:00	21.318					
494	07/06/22	23:00:00	21.270					
495	08/06/22	00:00:00	20.341					
496	08/06/22	01:00:00	20.388					
497	08/06/22	02:00:00	20.722					
498	08/06/22	03:00:00	20.579					
499	08/06/22	04:00:00	20.698					
