"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 20364086, SEN S/N: 20364086, LBL: Aire_25m_Febrero_2021)"	"Acoplador separado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Acoplador adjunto (LGR S/N: 20364086, SEN S/N: 20364086)"	"Host conectado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Parado (LGR S/N: 20364086, SEN S/N: 20364086)"	"Final de archivo (LGR S/N: 20364086, SEN S/N: 20364086)"
381	20/02/21	10:00:00	14.457					
382	20/02/21	11:00:00	14.481					
383	20/02/21	12:00:00	14.553					
384	20/02/21	13:00:00	14.577					
385	20/02/21	14:00:00	14.529					
386	20/02/21	15:00:00	14.649					
387	20/02/21	16:00:00	14.290					
388	20/02/21	17:00:00	14.122					
389	20/02/21	18:00:00	14.098					
390	20/02/21	19:00:00	14.194					
391	20/02/21	20:00:00	14.577					
392	20/02/21	21:00:00	14.625					
393	20/02/21	22:00:00	14.242					
394	20/02/21	23:00:00	14.290					
395	21/02/21	00:00:00	14.385					
396	21/02/21	01:00:00	14.337					
397	21/02/21	02:00:00	14.505					
398	21/02/21	03:00:00	14.529					
399	21/02/21	04:00:00	14.577					
400	21/02/21	05:00:00	14.409					
401	21/02/21	06:00:00	14.529					
402	21/02/21	07:00:00	14.529					
403	21/02/21	08:00:00	14.529					
404	21/02/21	09:00:00	14.529					
405	21/02/21	10:00:00	14.529					
406	21/02/21	11:00:00	14.553					
407	21/02/21	12:00:00	14.601					
408	21/02/21	13:00:00	14.601					
409	21/02/21	14:00:00	14.601					
410	21/02/21	15:00:00	14.601					
411	21/02/21	16:00:00	14.577					
412	21/02/21	17:00:00	14.577					
413	21/02/21	18:00:00	14.481					
414	21/02/21	19:00:00	14.481					
415	21/02/21	20:00:00	14.553					
416	21/02/21	21:00:00	14.577					
417	21/02/21	22:00:00	14.553					
418	21/02/21	23:00:00	14.553					
419	22/02/21	00:00:00	14.553					
420	22/02/21	01:00:00	14.529					
421	22/02/21	02:00:00	14.553					
422	22/02/21	03:00:00	14.553					
423	22/02/21	04:00:00	14.553					
424	22/02/21	05:00:00	14.553					
425	22/02/21	06:00:00	14.577					
426	22/02/21	07:00:00	14.577					
427	22/02/21	08:00:00	14.577					
428	22/02/21	09:00:00	14.050					
429	22/02/21	10:00:00	14.026					
430	22/02/21	11:00:00	14.002					
431	22/02/21	12:00:00	14.026					
432	22/02/21	13:00:00	14.194					
433	22/02/21	14:00:00	14.266					
434	22/02/21	15:00:00	14.242					
435	22/02/21	16:00:00	14.218					
436	22/02/21	17:00:00	14.242					
437	22/02/21	18:00:00	14.290					
438	22/02/21	19:00:00	14.314					
439	22/02/21	20:00:00	14.314					
440	22/02/21	21:00:00	14.481					
441	22/02/21	22:00:00	14.481					
442	22/02/21	23:00:00	14.481					
443	23/02/21	00:00:00	14.481					
444	23/02/21	01:00:00	14.481					
445	23/02/21	02:00:00	14.481					
446	23/02/21	03:00:00	14.481					
447	23/02/21	04:00:00	14.361					
448	23/02/21	05:00:00	14.266					
449	23/02/21	06:00:00	14.290					
450	23/02/21	07:00:00	14.170					
451	23/02/21	08:00:00	14.146					
452	23/02/21	09:00:00	14.122					
453	23/02/21	10:00:00	14.122					
454	23/02/21	11:00:00	14.146					
455	23/02/21	12:00:00	14.122					
456	23/02/21	13:00:00	14.122					
457	23/02/21	14:00:00	14.170					
458	23/02/21	15:00:00	14.481					
459	23/02/21	16:00:00	14.098					
460	23/02/21	17:00:00	14.433					
461	23/02/21	18:00:00	14.577					
462	23/02/21	19:00:00	14.601					
463	23/02/21	20:00:00	14.601					
464	23/02/21	21:00:00	14.601					
465	23/02/21	22:00:00	14.625					
466	23/02/21	23:00:00	14.625					
467	24/02/21	00:00:00	14.361					
468	24/02/21	01:00:00	14.242					
469	24/02/21	02:00:00	14.242					
470	24/02/21	03:00:00	14.218					
471	24/02/21	04:00:00	14.146					
472	24/02/21	05:00:00	14.218					
473	24/02/21	06:00:00	14.122					
474	24/02/21	07:00:00	14.074					
475	24/02/21	08:00:00	14.242					
476	24/02/21	09:00:00	14.433					
477	24/02/21	10:00:00	14.505					
478	24/02/21	11:00:00	14.577					
479	24/02/21	12:00:00	14.577					
480	24/02/21	13:00:00	14.673					
481	24/02/21	14:00:00	14.721					
482	24/02/21	15:00:00	14.673					
483	24/02/21	16:00:00	14.337					
484	24/02/21	17:00:00	14.266					
485	24/02/21	18:00:00	14.218					
486	24/02/21	19:00:00	14.170					
487	24/02/21	20:00:00	14.146					
488	24/02/21	21:00:00	14.050					
489	24/02/21	22:00:00	13.978					
490	24/02/21	23:00:00	13.978					
491	25/02/21	00:00:00	13.954					
492	25/02/21	01:00:00	13.978					
493	25/02/21	02:00:00	14.433					
494	25/02/21	03:00:00	14.625					
495	25/02/21	04:00:00	14.625					
496	25/02/21	05:00:00	14.601					
497	25/02/21	06:00:00	14.314					
498	25/02/21	07:00:00	14.290					
499	25/02/21	08:00:00	14.290					
500	25/02/21	09:00:00	14.290					
501	25/02/21	10:00:00	14.290					
502	25/02/21	11:00:00	14.242					
503	25/02/21	12:00:00	14.337					
504	25/02/21	13:00:00	14.314					
505	25/02/21	14:00:00	14.266					
506	25/02/21	15:00:00	14.242					
507	25/02/21	16:00:00	14.146					
508	25/02/21	17:00:00	14.146					
509	25/02/21	18:00:00	14.098					
510	25/02/21	19:00:00	14.050					
511	25/02/21	20:00:00	14.026					
512	25/02/21	21:00:00	14.098					
513	25/02/21	22:00:00	14.194					
514	25/02/21	23:00:00	14.098					
515	26/02/21	00:00:00	14.290					
516	26/02/21	01:00:00	14.361					
517	26/02/21	02:00:00	14.266					
518	26/02/21	03:00:00	14.409					
519	26/02/21	04:00:00	14.337					
520	26/02/21	05:00:00	14.361					
521	26/02/21	06:00:00	14.314					
522	26/02/21	07:00:00	14.242					
523	26/02/21	08:00:00	14.170					
524	26/02/21	09:00:00	14.146					
525	26/02/21	10:00:00	14.146					
526	26/02/21	11:00:00	14.146					
527	26/02/21	12:00:00	14.098					
528	26/02/21	13:00:00	14.146					
529	26/02/21	14:00:00	14.266					
530	26/02/21	15:00:00	14.194					
531	26/02/21	16:00:00	14.170					
532	26/02/21	17:00:00	14.122					
533	26/02/21	18:00:00	14.529					
534	26/02/21	19:00:00	14.601					
535	26/02/21	20:00:00	14.361					
536	26/02/21	21:00:00	14.337					
537	26/02/21	22:00:00	14.337					
538	26/02/21	23:00:00	14.242					
539	27/02/21	00:00:00	14.194					
540	27/02/21	01:00:00	14.146					
541	27/02/21	02:00:00	14.146					
542	27/02/21	03:00:00	14.146					
543	27/02/21	04:00:00	14.218					
544	27/02/21	05:00:00	14.266					
545	27/02/21	06:00:00	14.194					
546	27/02/21	07:00:00	14.194					
547	27/02/21	08:00:00	14.170					
548	27/02/21	09:00:00	14.170					
549	27/02/21	10:00:00	14.146					
550	27/02/21	11:00:00	14.146					
551	27/02/21	12:00:00	14.146					
552	27/02/21	13:00:00	14.122					
553	27/02/21	14:00:00	14.146					
554	27/02/21	15:00:00	14.266					
555	27/02/21	16:00:00	14.601					
556	27/02/21	17:00:00	14.721					
557	27/02/21	18:00:00	14.553					
