"N.º"	"Fecha"	"Tiempo, GMT+01:00"	"Temp, °C (LGR S/N: 10718615, SEN S/N: 10718615, LBL: Porros_20m_05022021)"	"Acoplador separado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Acoplador adjunto (LGR S/N: 10718615, SEN S/N: 10718615)"	"Host conectado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Parado (LGR S/N: 10718615, SEN S/N: 10718615)"	"Final de archivo (LGR S/N: 10718615, SEN S/N: 10718615)"
262	16/02/21	09:00:00	13.738					
263	16/02/21	10:00:00	13.762					
264	16/02/21	11:00:00	13.762					
265	16/02/21	12:00:00	13.810					
266	16/02/21	13:00:00	13.834					
267	16/02/21	14:00:00	13.834					
268	16/02/21	15:00:00	13.858					
269	16/02/21	16:00:00	13.858					
270	16/02/21	17:00:00	13.810					
271	16/02/21	18:00:00	13.786					
272	16/02/21	19:00:00	13.762					
273	16/02/21	20:00:00	13.762					
274	16/02/21	21:00:00	13.786					
275	16/02/21	22:00:00	13.786					
276	16/02/21	23:00:00	13.786					
277	17/02/21	00:00:00	13.762					
278	17/02/21	01:00:00	13.762					
279	17/02/21	02:00:00	13.762					
280	17/02/21	03:00:00	13.762					
281	17/02/21	04:00:00	13.738					
282	17/02/21	05:00:00	13.738					
283	17/02/21	06:00:00	13.738					
284	17/02/21	07:00:00	13.738					
285	17/02/21	08:00:00	13.762					
286	17/02/21	09:00:00	13.762					
287	17/02/21	10:00:00	13.762					
288	17/02/21	11:00:00	13.762					
289	17/02/21	12:00:00	13.762					
290	17/02/21	13:00:00	13.786					
291	17/02/21	14:00:00	13.810					
292	17/02/21	15:00:00	13.786					
293	17/02/21	16:00:00	13.786					
294	17/02/21	17:00:00	13.786					
295	17/02/21	18:00:00	13.786					
296	17/02/21	19:00:00	13.762					
297	17/02/21	20:00:00	13.762					
298	17/02/21	21:00:00	13.786					
299	17/02/21	22:00:00	13.786					
300	17/02/21	23:00:00	13.786					
301	18/02/21	00:00:00	13.786					
302	18/02/21	01:00:00	13.786					
303	18/02/21	02:00:00	13.762					
304	18/02/21	03:00:00	13.762					
305	18/02/21	04:00:00	13.762					
306	18/02/21	05:00:00	13.786					
307	18/02/21	06:00:00	13.786					
308	18/02/21	07:00:00	13.762					
309	18/02/21	08:00:00	13.762					
310	18/02/21	09:00:00	13.786					
311	18/02/21	10:00:00	13.786					
312	18/02/21	11:00:00	13.786					
313	18/02/21	12:00:00	13.786					
314	18/02/21	13:00:00	13.786					
315	18/02/21	14:00:00	13.786					
316	18/02/21	15:00:00	13.834					
317	18/02/21	16:00:00	13.882					
318	18/02/21	17:00:00	13.930					
319	18/02/21	18:00:00	14.002					
320	18/02/21	19:00:00	14.002					
321	18/02/21	20:00:00	14.002					
322	18/02/21	21:00:00	14.026					
323	18/02/21	22:00:00	14.026					
324	18/02/21	23:00:00	13.930					
325	19/02/21	00:00:00	13.834					
326	19/02/21	01:00:00	13.786					
327	19/02/21	02:00:00	13.786					
328	19/02/21	03:00:00	13.786					
329	19/02/21	04:00:00	13.786					
330	19/02/21	05:00:00	13.810					
331	19/02/21	06:00:00	13.834					
332	19/02/21	07:00:00	13.858					
333	19/02/21	08:00:00	13.858					
334	19/02/21	09:00:00	13.858					
335	19/02/21	10:00:00	13.882					
336	19/02/21	11:00:00	13.906					
337	19/02/21	12:00:00	13.954					
338	19/02/21	13:00:00	13.978					
339	19/02/21	14:00:00	14.002					
340	19/02/21	15:00:00	13.978					
341	19/02/21	16:00:00	13.978					
342	19/02/21	17:00:00	13.954					
343	19/02/21	18:00:00	13.954					
344	19/02/21	19:00:00	13.954					
345	19/02/21	20:00:00	13.954					
346	19/02/21	21:00:00	13.978					
347	19/02/21	22:00:00	13.954					
348	19/02/21	23:00:00	13.954					
349	20/02/21	00:00:00	13.954					
350	20/02/21	01:00:00	13.954					
351	20/02/21	02:00:00	13.954					
352	20/02/21	03:00:00	13.954					
353	20/02/21	04:00:00	13.954					
354	20/02/21	05:00:00	13.954					
355	20/02/21	06:00:00	13.978					
356	20/02/21	07:00:00	13.978					
357	20/02/21	08:00:00	14.002					
358	20/02/21	09:00:00	14.002					
359	20/02/21	10:00:00	14.026					
360	20/02/21	11:00:00	14.026					
361	20/02/21	12:00:00	13.954					
362	20/02/21	13:00:00	14.002					
363	20/02/21	14:00:00	14.002					
364	20/02/21	15:00:00	14.026					
365	20/02/21	16:00:00	14.098					
366	20/02/21	17:00:00	14.170					
367	20/02/21	18:00:00	14.194					
368	20/02/21	19:00:00	14.194					
369	20/02/21	20:00:00	14.170					
370	20/02/21	21:00:00	14.146					
371	20/02/21	22:00:00	14.098					
372	20/02/21	23:00:00	14.050					
373	21/02/21	00:00:00	14.074					
374	21/02/21	01:00:00	14.026					
375	21/02/21	02:00:00	14.098					
376	21/02/21	03:00:00	14.074					
377	21/02/21	04:00:00	14.026					
378	21/02/21	05:00:00	13.954					
379	21/02/21	06:00:00	14.026					
380	21/02/21	07:00:00	14.026					
381	21/02/21	08:00:00	14.026					
382	21/02/21	09:00:00	14.026					
383	21/02/21	10:00:00	14.002					
384	21/02/21	11:00:00	14.002					
385	21/02/21	12:00:00	14.002					
386	21/02/21	13:00:00	14.026					
387	21/02/21	14:00:00	14.026					
388	21/02/21	15:00:00	14.026					
389	21/02/21	16:00:00	14.050					
390	21/02/21	17:00:00	14.050					
391	21/02/21	18:00:00	14.050					
392	21/02/21	19:00:00	14.050					
393	21/02/21	20:00:00	14.026					
394	21/02/21	21:00:00	14.026					
395	21/02/21	22:00:00	14.026					
396	21/02/21	23:00:00	14.026					
397	22/02/21	00:00:00	14.026					
398	22/02/21	01:00:00	14.026					
399	22/02/21	02:00:00	14.026					
400	22/02/21	03:00:00	14.026					
401	22/02/21	04:00:00	14.026					
402	22/02/21	05:00:00	14.002					
403	22/02/21	06:00:00	14.002					
404	22/02/21	07:00:00	14.002					
405	22/02/21	08:00:00	14.002					
406	22/02/21	09:00:00	14.002					
407	22/02/21	10:00:00	14.002					
408	22/02/21	11:00:00	14.050					
409	22/02/21	12:00:00	14.098					
410	22/02/21	13:00:00	14.122					
411	22/02/21	14:00:00	14.122					
412	22/02/21	15:00:00	14.098					
413	22/02/21	16:00:00	14.098					
414	22/02/21	17:00:00	14.098					
415	22/02/21	18:00:00	14.122					
416	22/02/21	19:00:00	14.098					
417	22/02/21	20:00:00	14.074					
418	22/02/21	21:00:00	14.050					
419	22/02/21	22:00:00	14.050					
420	22/02/21	23:00:00	14.026					
421	23/02/21	00:00:00	14.026					
422	23/02/21	01:00:00	14.026					
423	23/02/21	02:00:00	14.026					
424	23/02/21	03:00:00	14.026					
425	23/02/21	04:00:00	14.026					
426	23/02/21	05:00:00	14.050					
427	23/02/21	06:00:00	14.050					
428	23/02/21	07:00:00	14.050					
429	23/02/21	08:00:00	14.074					
430	23/02/21	09:00:00	14.074					
431	23/02/21	10:00:00	14.050					
432	23/02/21	11:00:00	14.074					
433	23/02/21	12:00:00	14.050					
434	23/02/21	13:00:00	14.026					
435	23/02/21	14:00:00	14.050					
436	23/02/21	15:00:00	14.050					
437	23/02/21	16:00:00	14.050					
438	23/02/21	17:00:00	14.026					
439	23/02/21	18:00:00	14.050					
440	23/02/21	19:00:00	14.050					
441	23/02/21	20:00:00	14.026					
442	23/02/21	21:00:00	14.074					
443	23/02/21	22:00:00	14.050					
444	23/02/21	23:00:00	14.050					
445	24/02/21	00:00:00	14.074					
446	24/02/21	01:00:00	14.098					
447	24/02/21	02:00:00	14.026					
448	24/02/21	03:00:00	14.026					
449	24/02/21	04:00:00	14.026					
450	24/02/21	05:00:00	14.026					
451	24/02/21	06:00:00	14.026					
452	24/02/21	07:00:00	14.050					
453	24/02/21	08:00:00	14.050					
454	24/02/21	09:00:00	14.050					
455	24/02/21	10:00:00	14.050					
456	24/02/21	11:00:00	14.074					
457	24/02/21	12:00:00	14.098					
458	24/02/21	13:00:00	14.098					
459	24/02/21	14:00:00	14.098					
460	24/02/21	15:00:00	14.074					
461	24/02/21	16:00:00	14.074					
462	24/02/21	17:00:00	14.074					
463	24/02/21	18:00:00	14.074					
464	24/02/21	19:00:00	14.074					
465	24/02/21	20:00:00	14.074					
466	24/02/21	21:00:00	14.074					
467	24/02/21	22:00:00	14.050					
468	24/02/21	23:00:00	14.074					
469	25/02/21	00:00:00	14.074					
470	25/02/21	01:00:00	14.098					
471	25/02/21	02:00:00	14.098					
472	25/02/21	03:00:00	14.098					
473	25/02/21	04:00:00	14.098					
474	25/02/21	05:00:00	14.170					
475	25/02/21	06:00:00	14.242					
476	25/02/21	07:00:00	14.242					
477	25/02/21	08:00:00	14.266					
478	25/02/21	09:00:00	14.266					
479	25/02/21	10:00:00	14.290					
480	25/02/21	11:00:00	14.361					
481	25/02/21	12:00:00	14.361					
482	25/02/21	13:00:00	14.290					
483	25/02/21	14:00:00	14.218					
484	25/02/21	15:00:00	14.218					
485	25/02/21	16:00:00	14.242					
486	25/02/21	17:00:00	14.242					
487	25/02/21	18:00:00	14.242					
488	25/02/21	19:00:00	14.242					
489	25/02/21	20:00:00	14.290					
490	25/02/21	21:00:00	14.242					
491	25/02/21	22:00:00	14.242					
492	25/02/21	23:00:00	14.337					
493	26/02/21	00:00:00	14.266					
494	26/02/21	01:00:00	14.266					
495	26/02/21	02:00:00	14.385					
496	26/02/21	03:00:00	14.385					
497	26/02/21	04:00:00	14.409					
498	26/02/21	05:00:00	14.337					
499	26/02/21	06:00:00	14.242					
500	26/02/21	07:00:00	14.242					
501	26/02/21	08:00:00	14.242					
502	26/02/21	09:00:00	14.242					
503	26/02/21	10:00:00	14.242					
504	26/02/21	11:00:00	14.266					
505	26/02/21	12:00:00	14.290					
506	26/02/21	13:00:00	14.290					
507	26/02/21	14:00:00	14.314					
508	26/02/21	15:00:00	14.314					
509	26/02/21	16:00:00	14.314					
510	26/02/21	17:00:00	14.314					
511	26/02/21	18:00:00	14.290					
512	26/02/21	19:00:00	14.290					
513	26/02/21	20:00:00	14.290					
514	26/02/21	21:00:00	14.290					
515	26/02/21	22:00:00	14.290					
516	26/02/21	23:00:00	14.290					
517	27/02/21	00:00:00	14.290					
518	27/02/21	01:00:00	14.337					
519	27/02/21	02:00:00	14.314					
520	27/02/21	03:00:00	14.337					
521	27/02/21	04:00:00	14.361					
522	27/02/21	05:00:00	14.290					
523	27/02/21	06:00:00	14.337					
524	27/02/21	07:00:00	14.385					
525	27/02/21	08:00:00	14.385					
526	27/02/21	09:00:00	14.290					
