"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 20987460, SEN S/N: 20987460, LBL: Cannelle 15m)"	"Acoplador separado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Acoplador adjunto (LGR S/N: 20987460, SEN S/N: 20987460)"	"Host conectado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Parado (LGR S/N: 20987460, SEN S/N: 20987460)"	"Final de archivo (LGR S/N: 20987460, SEN S/N: 20987460)"
1386	02/06/23	03:00:00	16.796					
1387	02/06/23	04:00:00	17.082					
1388	02/06/23	05:00:00	16.915					
1389	02/06/23	06:00:00	17.368					
1390	02/06/23	07:00:00	17.486					
1391	02/06/23	08:00:00	16.987					
1392	02/06/23	09:00:00	17.011					
1393	02/06/23	10:00:00	17.011					
1394	02/06/23	11:00:00	17.249					
1395	02/06/23	12:00:00	17.130					
1396	02/06/23	13:00:00	17.201					
1397	02/06/23	14:00:00	17.748					
1398	02/06/23	15:00:00	17.510					
1399	02/06/23	16:00:00	16.987					
1400	02/06/23	17:00:00	17.296					
1401	02/06/23	18:00:00	17.225					
1402	02/06/23	19:00:00	17.582					
1403	02/06/23	20:00:00	17.201					
1404	02/06/23	21:00:00	17.177					
1405	02/06/23	22:00:00	17.130					
1406	02/06/23	23:00:00	17.034					
1407	03/06/23	00:00:00	17.011					
1408	03/06/23	01:00:00	17.058					
1409	03/06/23	02:00:00	16.963					
1410	03/06/23	03:00:00	16.892					
1411	03/06/23	04:00:00	16.987					
1412	03/06/23	05:00:00	17.082					
1413	03/06/23	06:00:00	17.034					
1414	03/06/23	07:00:00	17.034					
1415	03/06/23	08:00:00	17.153					
1416	03/06/23	09:00:00	17.130					
1417	03/06/23	10:00:00	17.249					
1418	03/06/23	11:00:00	17.272					
1419	03/06/23	12:00:00	17.486					
1420	03/06/23	13:00:00	17.510					
1421	03/06/23	14:00:00	17.153					
1422	03/06/23	15:00:00	16.796					
1423	03/06/23	16:00:00	16.892					
1424	03/06/23	17:00:00	16.820					
1425	03/06/23	18:00:00	17.249					
1426	03/06/23	19:00:00	17.130					
1427	03/06/23	20:00:00	17.058					
1428	03/06/23	21:00:00	16.939					
1429	03/06/23	22:00:00	17.272					
1430	03/06/23	23:00:00	17.249					
1431	04/06/23	00:00:00	17.296					
1432	04/06/23	01:00:00	17.225					
1433	04/06/23	02:00:00	17.201					
1434	04/06/23	03:00:00	17.368					
1435	04/06/23	04:00:00	17.034					
1436	04/06/23	05:00:00	17.153					
1437	04/06/23	06:00:00	17.130					
1438	04/06/23	07:00:00	17.153					
1439	04/06/23	08:00:00	17.439					
1440	04/06/23	09:00:00	17.439					
1441	04/06/23	10:00:00	17.582					
1442	04/06/23	11:00:00	17.819					
1443	04/06/23	12:00:00	17.843					
1444	04/06/23	13:00:00	17.605					
1445	04/06/23	14:00:00	17.891					
1446	04/06/23	15:00:00	17.677					
1447	04/06/23	16:00:00	17.677					
1448	04/06/23	17:00:00	17.938					
1449	04/06/23	18:00:00	17.748					
1450	04/06/23	19:00:00	17.701					
1451	04/06/23	20:00:00	17.867					
1452	04/06/23	21:00:00	17.986					
1453	04/06/23	22:00:00	18.366					
1454	04/06/23	23:00:00	18.985					
1455	05/06/23	00:00:00	19.222					
1456	05/06/23	01:00:00	20.103					
1457	05/06/23	02:00:00	18.485					
1458	05/06/23	03:00:00	17.772					
1459	05/06/23	04:00:00	17.891					
1460	05/06/23	05:00:00	17.915					
1461	05/06/23	06:00:00	17.653					
1462	05/06/23	07:00:00	17.344					
1463	05/06/23	08:00:00	17.582					
1464	05/06/23	09:00:00	17.677					
1465	05/06/23	10:00:00	17.772					
1466	05/06/23	11:00:00	17.724					
1467	05/06/23	12:00:00	17.629					
1468	05/06/23	13:00:00	17.724					
1469	05/06/23	14:00:00	18.081					
1470	05/06/23	15:00:00	17.772					
1471	05/06/23	16:00:00	17.772					
1472	05/06/23	17:00:00	17.867					
1473	05/06/23	18:00:00	17.938					
1474	05/06/23	19:00:00	17.819					
1475	05/06/23	20:00:00	17.534					
1476	05/06/23	21:00:00	17.701					
1477	05/06/23	22:00:00	17.344					
1478	05/06/23	23:00:00	17.415					
1479	06/06/23	00:00:00	17.510					
1480	06/06/23	01:00:00	17.510					
1481	06/06/23	02:00:00	17.415					
1482	06/06/23	03:00:00	17.368					
1483	06/06/23	04:00:00	17.724					
1484	06/06/23	05:00:00	17.534					
1485	06/06/23	06:00:00	17.629					
1486	06/06/23	07:00:00	17.796					
1487	06/06/23	08:00:00	17.724					
1488	06/06/23	09:00:00	17.772					
1489	06/06/23	10:00:00	17.772					
1490	06/06/23	11:00:00	18.105					
1491	06/06/23	12:00:00	17.962					
1492	06/06/23	13:00:00	18.271					
1493	06/06/23	14:00:00	18.271					
1494	06/06/23	15:00:00	18.366					
1495	06/06/23	16:00:00	18.604					
1496	06/06/23	17:00:00	18.628					
1497	06/06/23	18:00:00	18.319					
1498	06/06/23	19:00:00	18.295					
1499	06/06/23	20:00:00	17.843					
1500	06/06/23	21:00:00	17.629					
1501	06/06/23	22:00:00	17.629					
1502	06/06/23	23:00:00	17.986					
1503	07/06/23	00:00:00	17.724					
1504	07/06/23	01:00:00	17.915					
1505	07/06/23	02:00:00	17.796					
1506	07/06/23	03:00:00	17.748					
1507	07/06/23	04:00:00	17.867					
1508	07/06/23	05:00:00	18.033					
1509	07/06/23	06:00:00	18.057					
1510	07/06/23	07:00:00	18.129					
1511	07/06/23	08:00:00	18.343					
1512	07/06/23	09:00:00	18.271					
1513	07/06/23	10:00:00	18.414					
1514	07/06/23	11:00:00	18.485					
1515	07/06/23	12:00:00	18.366					
1516	07/06/23	13:00:00	18.675					
1517	07/06/23	14:00:00	18.747					
1518	07/06/23	15:00:00	19.080					
1519	07/06/23	16:00:00	18.866					
1520	07/06/23	17:00:00	18.771					
1521	07/06/23	18:00:00	18.366					
1522	07/06/23	19:00:00	18.295					
1523	07/06/23	20:00:00	18.224					
1524	07/06/23	21:00:00	18.343					
1525	07/06/23	22:00:00	18.105					
1526	07/06/23	23:00:00	18.271					
1527	08/06/23	00:00:00	18.509					
1528	08/06/23	01:00:00	18.247					
1529	08/06/23	02:00:00	18.390					
1530	08/06/23	03:00:00	18.509					
1531	08/06/23	04:00:00	18.533					
1532	08/06/23	05:00:00	18.438					
1533	08/06/23	06:00:00	18.675					
1534	08/06/23	07:00:00	18.723					
1535	08/06/23	08:00:00	18.081					
1536	08/06/23	09:00:00	18.247					
1537	08/06/23	10:00:00	18.509					
1538	08/06/23	11:00:00	18.414					
1539	08/06/23	12:00:00	18.937					
1540	08/06/23	13:00:00	19.127					
1541	08/06/23	14:00:00	19.246					
1542	08/06/23	15:00:00	19.365					
1543	08/06/23	16:00:00	19.389					
1544	08/06/23	17:00:00	19.270					
1545	08/06/23	18:00:00	18.794					
1546	08/06/23	19:00:00	19.056					
1547	08/06/23	20:00:00	18.200					
1548	08/06/23	21:00:00	17.891					
1549	08/06/23	22:00:00	17.891					
1550	08/06/23	23:00:00	17.867					
1551	09/06/23	00:00:00	18.081					
1552	09/06/23	01:00:00	18.224					
1553	09/06/23	02:00:00	18.295					
1554	09/06/23	03:00:00	18.247					
1555	09/06/23	04:00:00	19.056					
1556	09/06/23	05:00:00	18.747					
1557	09/06/23	06:00:00	18.866					
1558	09/06/23	07:00:00	18.889					
1559	09/06/23	08:00:00	18.699					
1560	09/06/23	09:00:00	18.628					
1561	09/06/23	10:00:00	18.628					
1562	09/06/23	11:00:00	18.723					
1563	09/06/23	12:00:00	18.771					
1564	09/06/23	13:00:00	18.533					
1565	09/06/23	14:00:00	18.366					
1566	09/06/23	15:00:00	18.771					
1567	09/06/23	16:00:00	18.176					
1568	09/06/23	17:00:00	18.699					
1569	09/06/23	18:00:00	18.771					
1570	09/06/23	19:00:00	18.699					
1571	09/06/23	20:00:00	18.461					
1572	09/06/23	21:00:00	18.580					
1573	09/06/23	22:00:00	18.675					
1574	09/06/23	23:00:00	18.628					
1575	10/06/23	00:00:00	18.628					
1576	10/06/23	01:00:00	18.889					
1577	10/06/23	02:00:00	18.747					
1578	10/06/23	03:00:00	18.652					
1579	10/06/23	04:00:00	18.414					
1580	10/06/23	05:00:00	18.604					
1581	10/06/23	06:00:00	18.628					
1582	10/06/23	07:00:00	18.414					
1583	10/06/23	08:00:00	18.485					
1584	10/06/23	09:00:00	18.461					
1585	10/06/23	10:00:00	18.580					
1586	10/06/23	11:00:00	18.985					
1587	10/06/23	12:00:00	19.199					
1588	10/06/23	13:00:00	19.127					
1589	10/06/23	14:00:00	19.199					
1590	10/06/23	15:00:00	19.413					
1591	10/06/23	16:00:00	19.579					
1592	10/06/23	17:00:00	19.460					
1593	10/06/23	18:00:00	18.913					
1594	10/06/23	19:00:00	18.652					
1595	10/06/23	20:00:00	19.032					
1596	10/06/23	21:00:00	18.509					
