"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21151962, SEN S/N: 21151962, LBL: Sagro 05m)"	"Acoplador separado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Acoplador adjunto (LGR S/N: 21151962, SEN S/N: 21151962)"	"Host conectado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Parado (LGR S/N: 21151962, SEN S/N: 21151962)"	"Final de archivo (LGR S/N: 21151962, SEN S/N: 21151962)"
186	10/05/23	06:00:00	17.058					
187	10/05/23	07:00:00	17.201					
188	10/05/23	08:00:00	16.868					
189	10/05/23	09:00:00	16.558					
190	10/05/23	10:00:00	16.415					
191	10/05/23	11:00:00	16.225					
192	10/05/23	12:00:00	16.249					
193	10/05/23	13:00:00	16.272					
194	10/05/23	14:00:00	16.010					
195	10/05/23	15:00:00	16.534					
196	10/05/23	16:00:00	16.153					
197	10/05/23	17:00:00	16.844					
198	10/05/23	18:00:00	16.820					
199	10/05/23	19:00:00	16.868					
200	10/05/23	20:00:00	16.844					
201	10/05/23	21:00:00	16.868					
202	10/05/23	22:00:00	17.082					
203	10/05/23	23:00:00	17.463					
204	11/05/23	00:00:00	17.463					
205	11/05/23	01:00:00	17.415					
206	11/05/23	02:00:00	17.415					
207	11/05/23	03:00:00	17.391					
208	11/05/23	04:00:00	17.391					
209	11/05/23	05:00:00	17.368					
210	11/05/23	06:00:00	17.368					
211	11/05/23	07:00:00	17.368					
212	11/05/23	08:00:00	17.391					
213	11/05/23	09:00:00	17.391					
214	11/05/23	10:00:00	17.391					
215	11/05/23	11:00:00	17.368					
216	11/05/23	12:00:00	17.415					
217	11/05/23	13:00:00	17.439					
218	11/05/23	14:00:00	17.463					
219	11/05/23	15:00:00	17.772					
220	11/05/23	16:00:00	18.033					
221	11/05/23	17:00:00	18.176					
222	11/05/23	18:00:00	18.081					
223	11/05/23	19:00:00	18.081					
224	11/05/23	20:00:00	17.891					
225	11/05/23	21:00:00	17.796					
226	11/05/23	22:00:00	17.843					
227	11/05/23	23:00:00	17.843					
228	12/05/23	00:00:00	17.748					
229	12/05/23	01:00:00	17.701					
230	12/05/23	02:00:00	17.677					
231	12/05/23	03:00:00	17.629					
232	12/05/23	04:00:00	17.582					
233	12/05/23	05:00:00	17.534					
234	12/05/23	06:00:00	17.486					
235	12/05/23	07:00:00	17.415					
236	12/05/23	08:00:00	17.344					
237	12/05/23	09:00:00	17.391					
238	12/05/23	10:00:00	17.463					
239	12/05/23	11:00:00	17.486					
240	12/05/23	12:00:00	17.415					
241	12/05/23	13:00:00	17.558					
242	12/05/23	14:00:00	17.558					
243	12/05/23	15:00:00	17.486					
244	12/05/23	16:00:00	17.534					
245	12/05/23	17:00:00	17.605					
246	12/05/23	18:00:00	17.867					
247	12/05/23	19:00:00	17.772					
248	12/05/23	20:00:00	17.724					
249	12/05/23	21:00:00	17.724					
250	12/05/23	22:00:00	17.724					
251	12/05/23	23:00:00	17.724					
252	13/05/23	00:00:00	17.724					
253	13/05/23	01:00:00	17.724					
254	13/05/23	02:00:00	17.724					
255	13/05/23	03:00:00	17.724					
256	13/05/23	04:00:00	17.724					
257	13/05/23	05:00:00	17.701					
258	13/05/23	06:00:00	17.748					
259	13/05/23	07:00:00	17.724					
260	13/05/23	08:00:00	17.819					
261	13/05/23	09:00:00	17.843					
262	13/05/23	10:00:00	17.867					
263	13/05/23	11:00:00	17.819					
264	13/05/23	12:00:00	17.796					
265	13/05/23	13:00:00	17.819					
266	13/05/23	14:00:00	17.867					
267	13/05/23	15:00:00	17.819					
268	13/05/23	16:00:00	17.938					
269	13/05/23	17:00:00	17.938					
270	13/05/23	18:00:00	17.891					
271	13/05/23	19:00:00	17.915					
272	13/05/23	20:00:00	17.915					
273	13/05/23	21:00:00	17.843					
274	13/05/23	22:00:00	17.748					
275	13/05/23	23:00:00	17.724					
276	14/05/23	00:00:00	17.724					
277	14/05/23	01:00:00	17.534					
278	14/05/23	02:00:00	17.486					
279	14/05/23	03:00:00	17.486					
280	14/05/23	04:00:00	17.486					
281	14/05/23	05:00:00	17.510					
282	14/05/23	06:00:00	17.510					
283	14/05/23	07:00:00	17.534					
284	14/05/23	08:00:00	17.534					
285	14/05/23	09:00:00	17.629					
286	14/05/23	10:00:00	17.677					
287	14/05/23	11:00:00	17.724					
288	14/05/23	12:00:00	17.748					
289	14/05/23	13:00:00	17.819					
290	14/05/23	14:00:00	17.891					
291	14/05/23	15:00:00	17.915					
292	14/05/23	16:00:00	17.748					
293	14/05/23	17:00:00	17.796					
294	14/05/23	18:00:00	17.891					
295	14/05/23	19:00:00	17.819					
296	14/05/23	20:00:00	17.843					
297	14/05/23	21:00:00	17.843					
298	14/05/23	22:00:00	17.867					
299	14/05/23	23:00:00	17.796					
300	15/05/23	00:00:00	17.796					
301	15/05/23	01:00:00	17.772					
302	15/05/23	02:00:00	17.724					
303	15/05/23	03:00:00	17.724					
304	15/05/23	04:00:00	17.701					
305	15/05/23	05:00:00	17.677					
306	15/05/23	06:00:00	17.653					
307	15/05/23	07:00:00	17.653					
308	15/05/23	08:00:00	17.653					
309	15/05/23	09:00:00	17.701					
310	15/05/23	10:00:00	17.724					
311	15/05/23	11:00:00	17.701					
312	15/05/23	12:00:00	17.796					
313	15/05/23	13:00:00	18.366					
314	15/05/23	14:00:00	17.796					
315	15/05/23	15:00:00	17.843					
316	15/05/23	16:00:00	18.319					
317	15/05/23	17:00:00	18.129					
318	15/05/23	18:00:00	17.891					
319	15/05/23	19:00:00	17.891					
320	15/05/23	20:00:00	18.129					
321	15/05/23	21:00:00	18.152					
322	15/05/23	22:00:00	18.366					
323	15/05/23	23:00:00	18.343					
324	16/05/23	00:00:00	18.295					
325	16/05/23	01:00:00	18.271					
326	16/05/23	02:00:00	18.247					
327	16/05/23	03:00:00	18.224					
328	16/05/23	04:00:00	18.176					
329	16/05/23	05:00:00	18.176					
330	16/05/23	06:00:00	18.176					
331	16/05/23	07:00:00	18.152					
332	16/05/23	08:00:00	18.129					
333	16/05/23	09:00:00	18.129					
334	16/05/23	10:00:00	18.129					
335	16/05/23	11:00:00	18.129					
336	16/05/23	12:00:00	18.033					
337	16/05/23	13:00:00	18.057					
338	16/05/23	14:00:00	18.057					
339	16/05/23	15:00:00	18.033					
340	16/05/23	16:00:00	18.010					
341	16/05/23	17:00:00	18.010					
342	16/05/23	18:00:00	18.010					
343	16/05/23	19:00:00	18.010					
344	16/05/23	20:00:00	17.986					
345	16/05/23	21:00:00	17.938					
346	16/05/23	22:00:00	17.915					
347	16/05/23	23:00:00	17.915					
348	17/05/23	00:00:00	17.891					
349	17/05/23	01:00:00	17.867					
350	17/05/23	02:00:00	17.867					
351	17/05/23	03:00:00	17.867					
352	17/05/23	04:00:00	17.867					
353	17/05/23	05:00:00	17.843					
354	17/05/23	06:00:00	17.843					
355	17/05/23	07:00:00	17.843					
356	17/05/23	08:00:00	17.867					
357	17/05/23	09:00:00	17.915					
358	17/05/23	10:00:00	17.962					
359	17/05/23	11:00:00	17.986					
360	17/05/23	12:00:00	18.105					
361	17/05/23	13:00:00	18.176					
362	17/05/23	14:00:00	18.176					
363	17/05/23	15:00:00	18.176					
364	17/05/23	16:00:00	18.105					
365	17/05/23	17:00:00	18.057					
366	17/05/23	18:00:00	18.033					
367	17/05/23	19:00:00	18.010					
368	17/05/23	20:00:00	18.010					
369	17/05/23	21:00:00	17.986					
370	17/05/23	22:00:00	17.962					
371	17/05/23	23:00:00	17.938					
372	18/05/23	00:00:00	17.938					
373	18/05/23	01:00:00	17.938					
374	18/05/23	02:00:00	17.938					
375	18/05/23	03:00:00	17.915					
376	18/05/23	04:00:00	17.915					
377	18/05/23	05:00:00	17.915					
378	18/05/23	06:00:00	17.891					
379	18/05/23	07:00:00	17.891					
380	18/05/23	08:00:00	17.891					
381	18/05/23	09:00:00	17.915					
382	18/05/23	10:00:00	17.938					
383	18/05/23	11:00:00	17.986					
384	18/05/23	12:00:00	18.081					
385	18/05/23	13:00:00	18.129					
386	18/05/23	14:00:00	18.152					
387	18/05/23	15:00:00	18.176					
388	18/05/23	16:00:00	18.129					
389	18/05/23	17:00:00	18.081					
390	18/05/23	18:00:00	18.129					
391	18/05/23	19:00:00	18.057					
392	18/05/23	20:00:00	18.105					
393	18/05/23	21:00:00	17.986					
394	18/05/23	22:00:00	17.962					
395	18/05/23	23:00:00	17.938					
396	19/05/23	00:00:00	17.915					
397	19/05/23	01:00:00	17.938					
398	19/05/23	02:00:00	17.915					
399	19/05/23	03:00:00	17.938					
400	19/05/23	04:00:00	17.962					
401	19/05/23	05:00:00	17.891					
402	19/05/23	06:00:00	17.915					
403	19/05/23	07:00:00	17.867					
404	19/05/23	08:00:00	17.843					
405	19/05/23	09:00:00	17.819					
406	19/05/23	10:00:00	17.772					
407	19/05/23	11:00:00	17.772					
408	19/05/23	12:00:00	17.772					
409	19/05/23	13:00:00	17.772					
410	19/05/23	14:00:00	17.796					
411	19/05/23	15:00:00	17.796					
412	19/05/23	16:00:00	17.867					
413	19/05/23	17:00:00	17.819					
414	19/05/23	18:00:00	17.867					
415	19/05/23	19:00:00	17.867					
