"Título de trazado: 21500626 -5"
"N.º"	"Fecha"	"Tiempo, GMT+02:00"	"Temp, °C (LGR S/N: 21500626, SEN S/N: 21500626)"	"Botón abajo (LGR S/N: 21500626, SEN S/N: 21500626)"	"Botón arriba (LGR S/N: 21500626, SEN S/N: 21500626)"	"Host conectado (LGR S/N: 21500626, SEN S/N: 21500626)"	"Final de archivo (LGR S/N: 21500626, SEN S/N: 21500626)"
93	05/07/23	14:15:55		Registrado	Registrado		
94	05/07/23	14:15:55		Registrado	Registrado		
95	05/07/23	14:15:58		Registrado			
96	05/07/23	14:15:59		Registrado	Registrado		
97	05/07/23	14:15:59		Registrado	Registrado		
98	05/07/23	14:16:02		Registrado	Registrado		
99	05/07/23	14:16:04		Registrado			
100	05/07/23	14:16:05			Registrado		
101	05/07/23	14:16:08		Registrado			
102	05/07/23	14:16:09			Registrado		
103	05/07/23	14:16:12		Registrado			
104	05/07/23	14:16:14			Registrado		
105	05/07/23	14:16:17		Registrado			
106	05/07/23	14:16:19			Registrado		
107	05/07/23	14:16:22		Registrado			
108	05/07/23	14:16:24			Registrado		
109	05/07/23	14:16:27		Registrado			
110	05/07/23	14:16:29			Registrado		
111	05/07/23	14:16:32		Registrado			
112	05/07/23	14:16:35			Registrado		
113	05/07/23	14:16:37		Registrado			
114	05/07/23	14:16:39			Registrado		
115	05/07/23	14:16:41		Registrado			
116	05/07/23	14:16:42			Registrado		
117	05/07/23	14:16:44		Registrado	Registrado		
118	05/07/23	14:16:44		Registrado	Registrado		
119	05/07/23	14:16:46			Registrado		
120	05/07/23	14:16:49		Registrado			
121	05/07/23	14:16:51			Registrado		
122	05/07/23	14:16:54		Registrado			
123	05/07/23	14:16:56			Registrado		
124	05/07/23	14:16:59		Registrado			
125	05/07/23	14:17:01			Registrado		
126	05/07/23	14:17:03		Registrado			
127	05/07/23	14:17:05			Registrado		
128	05/07/23	14:17:08		Registrado			
129	05/07/23	14:17:10			Registrado		
130	05/07/23	14:17:13		Registrado			
131	05/07/23	14:17:15			Registrado		
132	05/07/23	14:17:18		Registrado			
133	05/07/23	14:17:20			Registrado		
134	05/07/23	14:17:22		Registrado			
135	05/07/23	14:17:25		Registrado	Registrado		
136	05/07/23	14:17:25		Registrado	Registrado		
137	05/07/23	14:17:28		Registrado			
138	05/07/23	14:17:30			Registrado		
139	05/07/23	14:17:33		Registrado			
140	05/07/23	14:17:36			Registrado		
141	05/07/23	14:17:38		Registrado			
142	05/07/23	14:17:41			Registrado		
143	05/07/23	14:17:43		Registrado			
144	05/07/23	14:17:45			Registrado		
145	05/07/23	14:17:47		Registrado			
146	05/07/23	14:17:50			Registrado		
147	05/07/23	14:17:52		Registrado			
148	05/07/23	14:17:55			Registrado		
149	05/07/23	14:17:57		Registrado			
150	05/07/23	14:17:59			Registrado		
151	05/07/23	14:18:01		Registrado			
152	05/07/23	14:18:03			Registrado		
153	05/07/23	14:18:05		Registrado			
154	05/07/23	14:18:08			Registrado		
155	05/07/23	14:18:10		Registrado			
156	05/07/23	14:18:13			Registrado		
157	05/07/23	14:18:15		Registrado			
158	05/07/23	14:18:17			Registrado		
159	05/07/23	14:18:19		Registrado			
160	05/07/23	14:18:22			Registrado		
161	05/07/23	14:18:24		Registrado			
162	05/07/23	14:18:27		Registrado	Registrado		
163	05/07/23	14:18:31		Registrado	Registrado		
164	05/07/23	14:18:31		Registrado	Registrado		
165	05/07/23	14:18:32		Registrado	Registrado		
166	05/07/23	14:18:34		Registrado	Registrado		
167	05/07/23	14:18:34		Registrado	Registrado		
168	05/07/23	14:18:36		Registrado			
169	05/07/23	14:18:38			Registrado		
170	05/07/23	14:18:40		Registrado			
171	05/07/23	14:18:42			Registrado		
172	05/07/23	14:18:44		Registrado			
173	05/07/23	14:18:47			Registrado		
174	05/07/23	14:18:48		Registrado			
175	05/07/23	14:18:51			Registrado		
176	05/07/23	14:18:52		Registrado			
177	05/07/23	14:18:56			Registrado		
178	05/07/23	14:18:57		Registrado			
179	05/07/23	14:19:09			Registrado		
180	05/07/23	14:19:10		Registrado			
181	05/07/23	14:19:13			Registrado		
182	05/07/23	14:19:14		Registrado			
183	05/07/23	14:19:18			Registrado		
184	05/07/23	14:19:20		Registrado			
185	05/07/23	14:19:23		Registrado	Registrado		
186	05/07/23	14:19:28			Registrado		
187	05/07/23	14:19:29		Registrado			
188	05/07/23	14:19:34			Registrado		
189	05/07/23	14:19:35		Registrado			
190	05/07/23	14:19:38			Registrado		
191	05/07/23	14:19:40		Registrado			
192	05/07/23	14:19:42			Registrado		
193	05/07/23	14:19:44		Registrado			
194	05/07/23	14:19:56			Registrado		
195	05/07/23	14:19:57		Registrado			
196	05/07/23	14:20:03			Registrado		
197	05/07/23	14:20:04		Registrado			
198	05/07/23	14:20:08			Registrado		
199	05/07/23	14:20:09		Registrado			
200	05/07/23	14:20:13		Registrado	Registrado		
201	05/07/23	14:20:22			Registrado		
202	05/07/23	14:20:24		Registrado			
203	05/07/23	14:20:28			Registrado		
204	05/07/23	14:20:30		Registrado			
205	05/07/23	14:20:32			Registrado		
206	05/07/23	14:20:34		Registrado			
207	05/07/23	14:20:43			Registrado		
208	05/07/23	14:20:44		Registrado			
209	05/07/23	14:20:48			Registrado		
210	05/07/23	14:20:49		Registrado			
211	05/07/23	14:20:52			Registrado		
212	05/07/23	14:20:53		Registrado	Registrado		
213	05/07/23	14:20:53		Registrado	Registrado		
214	05/07/23	14:20:59			Registrado		
215	05/07/23	14:21:00		Registrado			
216	05/07/23	14:21:03			Registrado		
217	05/07/23	14:21:05		Registrado			
218	05/07/23	14:21:08			Registrado		
219	05/07/23	14:21:10		Registrado			
220	05/07/23	14:21:13			Registrado		
221	05/07/23	14:21:15		Registrado			
222	05/07/23	14:21:17			Registrado		
223	05/07/23	14:21:18		Registrado			
224	05/07/23	14:21:21			Registrado		
225	05/07/23	14:21:22		Registrado			
226	05/07/23	14:21:34			Registrado		
227	05/07/23	14:21:36		Registrado			
228	05/07/23	14:21:53			Registrado		
229	05/07/23	14:21:54		Registrado			
230	05/07/23	14:21:57			Registrado		
231	05/07/23	14:21:58		Registrado			
232	05/07/23	14:22:07			Registrado		
233	05/07/23	14:22:08		Registrado			
234	05/07/23	14:22:13		Registrado	Registrado		
235	05/07/23	14:22:13		Registrado	Registrado		
236	05/07/23	14:22:23		Registrado	Registrado		
237	05/07/23	14:22:23		Registrado	Registrado		
238	05/07/23	14:22:24		Registrado			
239	05/07/23	14:23:28			Registrado		
240	05/07/23	14:23:29		Registrado			
241	05/07/23	14:23:33			Registrado		
242	05/07/23	14:23:34		Registrado			
243	05/07/23	14:23:38			Registrado		
244	05/07/23	14:24:24		Registrado			
245	05/07/23	14:24:27			Registrado		
246	05/07/23	14:24:28		Registrado			
247	05/07/23	14:25:31		Registrado	Registrado		
248	05/07/23	14:26:20			Registrado		
249	05/07/23	14:26:21		Registrado			
250	05/07/23	14:27:04			Registrado		
251	05/07/23	14:27:05		Registrado			
252	05/07/23	14:27:14			Registrado		
253	05/07/23	14:27:15		Registrado			
254	05/07/23	14:27:19		Registrado	Registrado		
255	05/07/23	14:27:23			Registrado		
256	05/07/23	14:27:25		Registrado			
257	05/07/23	14:27:28			Registrado		
258	05/07/23	14:27:29		Registrado			
259	05/07/23	14:27:32			Registrado		
260	05/07/23	14:27:33		Registrado			
261	05/07/23	14:27:42			Registrado		
262	05/07/23	14:27:43		Registrado			
263	05/07/23	14:27:47		Registrado	Registrado		
264	05/07/23	14:27:57			Registrado		
265	05/07/23	14:27:58		Registrado			
266	05/07/23	15:00:00	28.05				
267	05/07/23	16:00:00	28.10				
268	05/07/23	17:00:00	27.50				
269	05/07/23	18:00:00	27.15				
270	05/07/23	19:00:00	27.02				
271	05/07/23	20:00:00	26.94				
272	05/07/23	21:00:00	26.81				
273	05/07/23	22:00:00	26.77				
274	05/07/23	23:00:00	26.85				
275	06/07/23	00:00:00	26.77				
276	06/07/23	01:00:00	26.77				
277	06/07/23	02:00:00	26.68				
278	06/07/23	03:00:00	26.77				
279	06/07/23	04:00:00	26.81				
280	06/07/23	05:00:00	26.77				
281	06/07/23	06:00:00	26.85				
282	06/07/23	07:00:00	26.77				
283	06/07/23	08:00:00	26.81				
284	06/07/23	09:00:00	26.90				
285	06/07/23	10:00:00	27.20				
286	06/07/23	11:00:00	27.45				
287	06/07/23	12:00:00	27.07				
288	06/07/23	13:00:00	27.67				
289	06/07/23	14:00:00	27.80				
290	06/07/23	15:00:00	27.84				
291	06/07/23	16:00:00	27.67				
292	06/07/23	17:00:00	27.54				
293	06/07/23	18:00:00	27.45				
294	06/07/23	19:00:00	27.37				
295	06/07/23	20:00:00	27.28				
296	06/07/23	21:00:00	27.20				
297	06/07/23	22:00:00	27.07				
298	06/07/23	23:00:00	27.02				
299	07/07/23	00:00:00	27.07				
300	07/07/23	01:00:00	27.07				
301	07/07/23	02:00:00	27.07				
302	07/07/23	03:00:00	27.02				
303	07/07/23	04:00:00	26.98				
304	07/07/23	05:00:00	26.98				
305	07/07/23	06:00:00	26.94				
306	07/07/23	07:00:00	26.90				
307	07/07/23	08:00:00	26.98				
308	07/07/23	09:00:00	27.07				
309	07/07/23	10:00:00	27.02				
310	07/07/23	11:00:00	27.54				
311	07/07/23	12:00:00	27.63				
312	07/07/23	13:00:00	27.97				
313	07/07/23	14:00:00	28.05				
314	07/07/23	15:00:00	28.05				
315	07/07/23	16:00:00	28.01				
316	07/07/23	17:00:00	27.88				
317	07/07/23	18:00:00	27.67				
318	07/07/23	19:00:00	27.63				
319	07/07/23	20:00:00	27.63				
320	07/07/23	21:00:00	27.37				
321	07/07/23	22:00:00	27.20				
322	07/07/23	23:00:00	27.11				
323	08/07/23	00:00:00	27.24				
324	08/07/23	01:00:00	27.20				
325	08/07/23	02:00:00	27.20				
326	08/07/23	03:00:00	27.11				
327	08/07/23	04:00:00	27.11				
328	08/07/23	05:00:00	26.55				
329	08/07/23	06:00:00	26.85				
330	08/07/23	07:00:00	26.85				
331	08/07/23	08:00:00	26.98				
332	08/07/23	09:00:00	27.07				
333	08/07/23	10:00:00	27.37				
334	08/07/23	11:00:00	27.75				
335	08/07/23	12:00:00	28.01				
336	08/07/23	13:00:00	28.05				
337	08/07/23	14:00:00	28.23				
338	08/07/23	15:00:00	28.48				
339	08/07/23	16:00:00	28.31				
340	08/07/23	17:00:00	28.18				
341	08/07/23	18:00:00	27.84				
342	08/07/23	19:00:00	27.63				
343	08/07/23	20:00:00	27.50				
344	08/07/23	21:00:00	27.50				
345	08/07/23	22:00:00	27.28				
346	08/07/23	23:00:00	27.37				
347	09/07/23	00:00:00	27.15				
348	09/07/23	01:00:00	27.20				
349	09/07/23	02:00:00	27.24				
350	09/07/23	03:00:00	27.20				
351	09/07/23	04:00:00	27.20				
352	09/07/23	05:00:00	27.20				
353	09/07/23	06:00:00	27.24				
354	09/07/23	07:00:00	27.24				
355	09/07/23	08:00:00	27.32				
356	09/07/23	09:00:00	27.41				
357	09/07/23	10:00:00	27.45				
358	09/07/23	11:00:00	27.58				
359	09/07/23	12:00:00	28.10				
360	09/07/23	13:00:00	28.23				
361	09/07/23	14:00:00	27.63				
362	09/07/23	15:00:00	28.23				
363	09/07/23	16:00:00	28.53				
364	09/07/23	17:00:00	28.31				
365	09/07/23	18:00:00	27.84				
366	09/07/23	19:00:00	27.71				
367	09/07/23	20:00:00	27.67				
368	09/07/23	21:00:00	27.58				
369	09/07/23	22:00:00	27.54				
370	09/07/23	23:00:00	27.58				
371	10/07/23	00:00:00	27.50				
372	10/07/23	01:00:00	27.37				
373	10/07/23	02:00:00	27.32				
374	10/07/23	03:00:00	27.32				
375	10/07/23	04:00:00	27.28				
376	10/07/23	05:00:00	27.50				
377	10/07/23	06:00:00	27.37				
378	10/07/23	07:00:00	27.37				
379	10/07/23	08:00:00	27.37				
380	10/07/23	09:00:00	27.58				
381	10/07/23	10:00:00	27.71				
382	10/07/23	11:00:00	27.75				
383	10/07/23	12:00:00	28.10				
384	10/07/23	13:00:00	28.35				
385	10/07/23	14:00:00	28.40				
386	10/07/23	15:00:00	28.48				
387	10/07/23	16:00:00	28.48				
388	10/07/23	17:00:00	28.57				
389	10/07/23	18:00:00	28.40				
390	10/07/23	19:00:00	28.35				
391	10/07/23	20:00:00	28.27				
392	10/07/23	21:00:00	28.10				
393	10/07/23	22:00:00	27.93				
394	10/07/23	23:00:00	27.93				
395	11/07/23	00:00:00	27.80				
396	11/07/23	01:00:00	27.80				
397	11/07/23	02:00:00	27.80				
398	11/07/23	03:00:00	27.75				
399	11/07/23	04:00:00	27.80				
400	11/07/23	05:00:00	27.75				
401	11/07/23	06:00:00	27.75				
402	11/07/23	07:00:00	27.67				
403	11/07/23	08:00:00	27.71				
404	11/07/23	09:00:00	27.93				
405	11/07/23	10:00:00	28.14				
406	11/07/23	11:00:00	28.23				
407	11/07/23	12:00:00	28.48				
408	11/07/23	13:00:00	28.61				
409	11/07/23	14:00:00	28.91				
410	11/07/23	15:00:00	28.83				
411	11/07/23	16:00:00	28.74				
412	11/07/23	17:00:00	28.48				
413	11/07/23	18:00:00	28.53				
414	11/07/23	19:00:00	28.65				
415	11/07/23	20:00:00	28.57				
416	11/07/23	21:00:00	28.53				
417	11/07/23	22:00:00	28.40				
418	11/07/23	23:00:00	28.48				
419	12/07/23	00:00:00	28.35				
420	12/07/23	01:00:00	28.27				
421	12/07/23	02:00:00	28.23				
422	12/07/23	03:00:00	28.10				
423	12/07/23	04:00:00	28.01				
424	12/07/23	05:00:00	28.14				
425	12/07/23	06:00:00	28.01				
426	12/07/23	07:00:00	27.71				
427	12/07/23	08:00:00	27.84				
428	12/07/23	09:00:00	27.93				
429	12/07/23	10:00:00	27.93				
430	12/07/23	11:00:00	28.01				
431	12/07/23	12:00:00	28.44				
432	12/07/23	13:00:00	28.78				
433	12/07/23	14:00:00	28.87				
434	12/07/23	15:00:00	28.70				
435	12/07/23	16:00:00	28.14				
436	12/07/23	17:00:00	28.40				
437	12/07/23	18:00:00	27.88				
438	12/07/23	19:00:00	28.27				
439	12/07/23	20:00:00	28.83				
440	12/07/23	21:00:00	28.74				
441	12/07/23	22:00:00	28.74				
442	12/07/23	23:00:00	28.57				
443	13/07/23	00:00:00	28.48				
444	13/07/23	01:00:00	28.44				
445	13/07/23	02:00:00	28.44				
446	13/07/23	03:00:00	28.57				
447	13/07/23	04:00:00	28.53				
448	13/07/23	05:00:00	28.27				
449	13/07/23	06:00:00	28.44				
450	13/07/23	07:00:00	28.27				
451	13/07/23	08:00:00	28.44				
452	13/07/23	09:00:00	28.70				
453	13/07/23	10:00:00	28.48				
454	13/07/23	11:00:00	28.87				
455	13/07/23	12:00:00	28.95				
456	13/07/23	13:00:00	29.13				
457	13/07/23	14:00:00	29.13				
458	13/07/23	15:00:00	29.13				
459	13/07/23	16:00:00	29.21				
460	13/07/23	17:00:00	29.08				
461	13/07/23	18:00:00	28.87				
462	13/07/23	19:00:00	28.74				
463	13/07/23	20:00:00	28.61				
464	13/07/23	21:00:00	28.40				
465	13/07/23	22:00:00	28.23				
466	13/07/23	23:00:00	28.27				
467	14/07/23	00:00:00	28.18				
468	14/07/23	01:00:00	28.27				
469	14/07/23	02:00:00	28.18				
470	14/07/23	03:00:00	28.14				
471	14/07/23	04:00:00	28.23				
472	14/07/23	05:00:00	28.14				
473	14/07/23	06:00:00	28.14				
474	14/07/23	07:00:00	28.14				
475	14/07/23	08:00:00	28.18				
476	14/07/23	09:00:00	28.31				
477	14/07/23	10:00:00	28.31				
478	14/07/23	11:00:00	28.44				
479	14/07/23	12:00:00	28.61				
480	14/07/23	13:00:00	28.95				
481	14/07/23	14:00:00	28.91				
482	14/07/23	15:00:00	29.13				
483	14/07/23	16:00:00	29.00				
484	14/07/23	17:00:00	29.00				
485	14/07/23	18:00:00	28.87				
486	14/07/23	19:00:00	28.91				
487	14/07/23	20:00:00	28.91				
488	14/07/23	21:00:00	28.78				
489	14/07/23	22:00:00	28.70				
490	14/07/23	23:00:00	28.57				
491	15/07/23	00:00:00	28.65				
492	15/07/23	01:00:00	28.61				
493	15/07/23	02:00:00	28.53				
494	15/07/23	03:00:00	28.44				
495	15/07/23	04:00:00	28.35				
496	15/07/23	05:00:00	28.18				
497	15/07/23	06:00:00	28.23				
498	15/07/23	07:00:00	28.18				
499	15/07/23	08:00:00	28.23				
500	15/07/23	09:00:00	28.53				
501	15/07/23	10:00:00	28.78				
502	15/07/23	11:00:00	28.70				
503	15/07/23	12:00:00	28.83				
504	15/07/23	13:00:00	28.83				
505	15/07/23	14:00:00	28.87				
506	15/07/23	15:00:00	28.78				
507	15/07/23	16:00:00	28.78				
508	15/07/23	17:00:00	28.61				
509	15/07/23	18:00:00	28.53				
510	15/07/23	19:00:00	28.44				
511	15/07/23	20:00:00	28.35				
512	15/07/23	21:00:00	28.23				
513	15/07/23	22:00:00	28.27				
514	15/07/23	23:00:00	28.18				
515	16/07/23	00:00:00	28.14				
516	16/07/23	01:00:00	28.14				
517	16/07/23	02:00:00	28.01				
518	16/07/23	03:00:00	28.10				
519	16/07/23	04:00:00	28.01				
520	16/07/23	05:00:00	28.01				
521	16/07/23	06:00:00	27.97				
522	16/07/23	07:00:00	27.71				
523	16/07/23	08:00:00	27.67				
524	16/07/23	09:00:00	27.97				
525	16/07/23	10:00:00	28.23				
526	16/07/23	11:00:00	28.48				
527	16/07/23	12:00:00	28.61				
528	16/07/23	13:00:00	28.83				
529	16/07/23	14:00:00	28.78				
530	16/07/23	15:00:00	28.83				
531	16/07/23	16:00:00	28.83				
532	16/07/23	17:00:00	28.87				
533	16/07/23	18:00:00	28.87				
534	16/07/23	19:00:00	28.83				
535	16/07/23	20:00:00	28.78				
536	16/07/23	21:00:00	28.78				
537	16/07/23	22:00:00	28.57				
538	16/07/23	23:00:00	28.48				
539	17/07/23	00:00:00	28.48				
540	17/07/23	01:00:00	28.48				
541	17/07/23	02:00:00	28.48				
542	17/07/23	03:00:00	28.35				
543	17/07/23	04:00:00	28.27				
544	17/07/23	05:00:00	28.35				
545	17/07/23	06:00:00	28.31				
546	17/07/23	07:00:00	28.31				
547	17/07/23	08:00:00	28.44				
548	17/07/23	09:00:00	28.57				
549	17/07/23	10:00:00	28.61				
550	17/07/23	11:00:00	28.65				
551	17/07/23	12:00:00	28.83				
552	17/07/23	13:00:00	29.04				
553	17/07/23	14:00:00	29.08				
554	17/07/23	15:00:00	29.04				
555	17/07/23	16:00:00	29.08				
556	17/07/23	17:00:00	28.87				
557	17/07/23	18:00:00	28.78				
558	17/07/23	19:00:00	28.78				
559	17/07/23	20:00:00	28.74				
560	17/07/23	21:00:00	28.57				
561	17/07/23	22:00:00	28.53				
562	17/07/23	23:00:00	28.48				
563	18/07/23	00:00:00	28.48				
564	18/07/23	01:00:00	28.35				
565	18/07/23	02:00:00	28.40				
566	18/07/23	03:00:00	28.40				
567	18/07/23	04:00:00	28.31				
568	18/07/23	05:00:00	28.35				
569	18/07/23	06:00:00	28.31				
570	18/07/23	07:00:00	28.31				
571	18/07/23	08:00:00	28.40				
572	18/07/23	09:00:00	28.53				
573	18/07/23	10:00:00	28.65				
574	18/07/23	11:00:00	28.78				
575	18/07/23	12:00:00	28.87				
576	18/07/23	13:00:00	28.95				
577	18/07/23	14:00:00	29.00				
578	18/07/23	15:00:00	29.00				
579	18/07/23	16:00:00	28.91				
580	18/07/23	17:00:00	28.83				
581	18/07/23	18:00:00	28.65				
582	18/07/23	19:00:00	28.61				
583	18/07/23	20:00:00	28.70				
584	18/07/23	21:00:00	29.13				
585	18/07/23	22:00:00	29.04				
586	18/07/23	23:00:00	28.87				
587	19/07/23	00:00:00	28.83				
588	19/07/23	01:00:00	28.83				
589	19/07/23	02:00:00	28.83				
590	19/07/23	03:00:00	28.70				
591	19/07/23	04:00:00	28.44				
592	19/07/23	05:00:00	28.61				
593	19/07/23	06:00:00	28.57				
594	19/07/23	07:00:00	28.57				
595	19/07/23	08:00:00	28.61				
596	19/07/23	09:00:00	28.74				
597	19/07/23	10:00:00	28.78				
598	19/07/23	11:00:00	28.87				
599	19/07/23	12:00:00	28.83				
600	19/07/23	13:00:00	29.00				
601	19/07/23	14:00:00	29.08				
602	19/07/23	15:00:00	29.56				
603	19/07/23	16:00:00	29.38				
604	19/07/23	17:00:00	29.47				
605	19/07/23	18:00:00	29.51				
606	19/07/23	19:00:00	29.30				
607	19/07/23	20:00:00	29.34				
608	19/07/23	21:00:00	29.38				
609	19/07/23	22:00:00	29.34				
610	19/07/23	23:00:00	29.38				
611	20/07/23	00:00:00	29.30				
612	20/07/23	01:00:00	29.17				
613	20/07/23	02:00:00	28.70				
614	20/07/23	03:00:00	28.91				
615	20/07/23	04:00:00	28.91				
616	20/07/23	05:00:00	28.95				
617	20/07/23	06:00:00	28.95				
618	20/07/23	07:00:00	29.13				
619	20/07/23	08:00:00	29.13				
620	20/07/23	09:00:00	29.38				
621	20/07/23	10:00:00	29.51				
622	20/07/23	11:00:00	29.34				
623	20/07/23	12:00:00	29.17				
624	20/07/23	13:00:00	29.86				
625	20/07/23	14:00:00	29.81				
626	20/07/23	15:00:00	29.81				
627	20/07/23	16:00:00	29.94				
628	20/07/23	17:00:00	29.60				
629	20/07/23	18:00:00	29.56				
630	20/07/23	19:00:00	29.30				
631	20/07/23	20:00:00	29.43				
632	20/07/23	21:00:00	29.43				
633	20/07/23	22:00:00	29.30				
634	20/07/23	23:00:00	29.34				
635	21/07/23	00:00:00	29.26				
636	21/07/23	01:00:00	29.21				
637	21/07/23	02:00:00	29.17				
638	21/07/23	03:00:00	29.08				
639	21/07/23	04:00:00	28.44				
640	21/07/23	05:00:00	28.95				
641	21/07/23	06:00:00	29.00				
642	21/07/23	07:00:00	28.91				
643	21/07/23	08:00:00	28.83				
644	21/07/23	09:00:00	29.00				
645	21/07/23	10:00:00	29.04				
646	21/07/23	11:00:00	29.13				
647	21/07/23	12:00:00	29.34				
648	21/07/23	13:00:00	29.30				
649	21/07/23	14:00:00	29.34				
650	21/07/23	15:00:00	29.47				
651	21/07/23	16:00:00	29.08				
652	21/07/23	17:00:00	29.17				
653	21/07/23	18:00:00	29.30				
654	21/07/23	19:00:00	29.38				
655	21/07/23	20:00:00	29.38				
656	21/07/23	21:00:00	29.30				
657	21/07/23	22:00:00	29.17				
658	21/07/23	23:00:00	29.08				
659	22/07/23	00:00:00	29.08				
660	22/07/23	01:00:00	29.13				
661	22/07/23	02:00:00	28.91				
662	22/07/23	03:00:00	29.00				
663	22/07/23	04:00:00	29.08				
664	22/07/23	05:00:00	28.95				
665	22/07/23	06:00:00	29.00				
666	22/07/23	07:00:00	28.87				
667	22/07/23	08:00:00	28.95				
668	22/07/23	09:00:00	29.00				
669	22/07/23	10:00:00	29.08				
670	22/07/23	11:00:00	29.13				
671	22/07/23	12:00:00	29.34				
672	22/07/23	13:00:00	29.17				
673	22/07/23	14:00:00	29.26				
674	22/07/23	15:00:00	29.26				
675	22/07/23	16:00:00	29.26				
676	22/07/23	17:00:00	29.34				
677	22/07/23	18:00:00	29.17				
678	22/07/23	19:00:00	29.30				
679	22/07/23	20:00:00	29.26				
680	22/07/23	21:00:00	29.26				
681	22/07/23	22:00:00	29.17				
682	22/07/23	23:00:00	29.21				
683	23/07/23	00:00:00	29.17				
684	23/07/23	01:00:00	29.13				
685	23/07/23	02:00:00	29.08				
686	23/07/23	03:00:00	29.00				
687	23/07/23	04:00:00	29.04				
688	23/07/23	05:00:00	29.00				
689	23/07/23	06:00:00	29.04				
690	23/07/23	07:00:00	29.00				
691	23/07/23	08:00:00	29.00				
